=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 61
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-16 08:58:00 UTC
latitude:  69.093438
longitude: -51.9882407
ttf:       0
nsat:      5
min snr:   31
mean snr:  38
max snr:   42
hdop:      1

fix kind:  DiveEnd
fix time:  2021-11-21 11:35:00 UTC
latitude:  69.0931073
longitude: -51.9830195
ttf:       30
nsat:      8
min snr:   0
mean snr:  32
max snr:   44
hdop:      1

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1637053172 │          0.0400 │ descent start ║
║ 1637053583 │         10.0400 │       descent ║
║ 1637053651 │         20.0800 │       descent ║
║ 1637053718 │         30.1600 │       descent ║
║ 1637053788 │         40.0400 │       descent ║
║ 1637053861 │         50.1200 │       descent ║
║ 1637053865 │         50.5600 │  descent pump ║
║ 1637053937 │         60.0800 │       descent ║
║ 1637054015 │         70.0800 │       descent ║
║ 1637054094 │         80.0400 │       descent ║
║ 1637054170 │         90.0800 │       descent ║
║ 1637054245 │        100.0800 │       descent ║
║ 1637054320 │        110.0800 │       descent ║
║ 1637054396 │        120.0000 │       descent ║
║ 1637054475 │        130.0400 │       descent ║
║ 1637054558 │        140.0400 │       descent ║
║ 1637054643 │        150.0000 │       descent ║
║ 1637054728 │        160.0800 │       descent ║
║ 1637054811 │        170.0800 │       descent ║
║ 1637054892 │        180.0800 │       descent ║
║ 1637054973 │        190.0800 │       descent ║
║ 1637055055 │        200.0000 │       descent ║
║ 1637055138 │        210.0400 │       descent ║
║ 1637055220 │        220.0400 │       descent ║
║ 1637055302 │        230.0800 │       descent ║
║ 1637055387 │        240.0400 │       descent ║
║ 1637055473 │        250.0400 │       descent ║
║ 1637055559 │        260.0400 │       descent ║
║ 1637055645 │        270.0800 │       descent ║
║ 1637055671 │        273.0400 │  descent seek ║
║ 1637056017 │        313.4400 │       descent ║
║ 1637056099 │        323.0400 │       descent ║
║ 1637056187 │        333.0400 │       descent ║
║ 1637056275 │        343.0800 │       descent ║
║ 1637056363 │        353.0800 │       descent ║
║ 1637056448 │        363.0400 │       descent ║
║ 1637056535 │        373.0800 │       descent ║
║ 1637056622 │        383.0000 │       descent ║
