=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 68
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-22 04:33:00 UTC
latitude:  69.0914764
longitude: -52.0090284
ttf:       0
nsat:      5
min snr:   17
mean snr:  20
max snr:   23
hdop:      1.2

fix kind:  DiveEnd
fix time:  2021-12-27 07:07:00 UTC
latitude:  69.0915891
longitude: -52.0103031
ttf:       230
nsat:      6
min snr:   0
mean snr:  26
max snr:   35
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1640147659 │          0.0400 │ descent start ║
║ 1640148075 │         10.1200 │       descent ║
║ 1640148154 │         20.1600 │       descent ║
║ 1640148225 │         30.0400 │       descent ║
║ 1640148299 │         40.2000 │       descent ║
║ 1640148371 │         50.1600 │       descent ║
║ 1640148374 │         50.6000 │  descent pump ║
║ 1640148447 │         60.0400 │       descent ║
║ 1640148527 │         70.0400 │       descent ║
║ 1640148607 │         80.0800 │       descent ║
║ 1640148683 │         90.0800 │       descent ║
║ 1640148757 │        100.0000 │       descent ║
║ 1640148832 │        110.0800 │       descent ║
║ 1640148907 │        120.0800 │       descent ║
║ 1640148984 │        130.0000 │       descent ║
║ 1640149067 │        140.0400 │       descent ║
║ 1640149154 │        150.0800 │       descent ║
║ 1640149241 │        160.0400 │       descent ║
║ 1640149325 │        170.0400 │       descent ║
║ 1640149410 │        180.0400 │       descent ║
║ 1640149495 │        190.0800 │       descent ║
║ 1640149581 │        200.0800 │       descent ║
║ 1640149666 │        210.0000 │       descent ║
║ 1640149753 │        220.0000 │       descent ║
║ 1640149839 │        230.0800 │       descent ║
║ 1640149926 │        240.0800 │       descent ║
║ 1640150011 │        250.0400 │       descent ║
║ 1640150097 │        260.0400 │       descent ║
║ 1640150180 │        269.5200 │  descent seek ║
║ 1640150184 │        270.0000 │       descent ║
║ 1640150526 │        310.6400 │       descent ║
║ 1640150604 │        320.0000 │       descent ║
║ 1640150687 │        330.0000 │       descent ║
║ 1640150772 │        340.0800 │       descent ║
║ 1640150856 │        350.0400 │       descent ║
║ 1640150939 │        360.0400 │       descent ║
║ 1640151021 │        370.0400 │       descent ║
║ 1640151105 │        380.0400 │       descent ║
║ 1640151191 │        390.0000 │       descent ║
║ 1640151277 │        400.0000 │       descent ║
║ 1640151364 │        410.0800 │       descent ║
║ 1640151448 │        420.0800 │       descent ║
║ 1640151531 │        430.0400 │       descent ║
║ 1640151617 │        440.0000 │       descent ║
║ 1640152217 │        443.7200 │       descent ║
║ 1640152817 │        443.6800 │       descent ║
║ 1640153417 │        443.6400 │       descent ║
║ 1640154017 │        443.6000 │       descent ║
║ 1640154125 │        443.6000 │  descent seek ║
║ 1640154617 │        443.5600 │       descent ║
