=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 77
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-06 06:17:00 UTC
latitude:  69.0950683
longitude: -51.985653
ttf:       10
nsat:      6
min snr:   26
mean snr:  33
max snr:   39
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-02-11 08:55:00 UTC
latitude:  69.0966182
longitude: -51.9748802
ttf:       230
nsat:      5
min snr:   0
mean snr:  30
max snr:   39
hdop:      4.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1644128280 │          0.0000 │ descent start ║
║ 1644128748 │         10.1600 │       descent ║
║ 1644128829 │         20.2000 │       descent ║
║ 1644128907 │         30.1600 │       descent ║
║ 1644128985 │         40.1200 │       descent ║
║ 1644129060 │         50.0800 │       descent ║
║ 1644129063 │         50.5200 │  descent pump ║
║ 1644129138 │         60.0400 │       descent ║
║ 1644129216 │         70.0400 │       descent ║
║ 1644129295 │         80.0000 │       descent ║
║ 1644129374 │         90.0800 │       descent ║
║ 1644129453 │        100.0800 │       descent ║
║ 1644129533 │        110.0800 │       descent ║
║ 1644129613 │        120.0800 │       descent ║
║ 1644129693 │        130.0400 │       descent ║
║ 1644129775 │        140.0800 │       descent ║
║ 1644129857 │        150.0000 │       descent ║
║ 1644129938 │        160.0800 │       descent ║
║ 1644130017 │        170.0000 │       descent ║
║ 1644130099 │        180.0800 │       descent ║
║ 1644130182 │        190.0800 │       descent ║
║ 1644130265 │        200.0400 │       descent ║
║ 1644130347 │        210.0800 │       descent ║
║ 1644130433 │        220.0000 │       descent ║
║ 1644130523 │        230.0000 │       descent ║
║ 1644130616 │        240.0800 │       descent ║
║ 1644130709 │        250.0800 │       descent ║
║ 1644130802 │        260.0800 │       descent ║
║ 1644130870 │        267.3600 │  descent seek ║
║ 1644130895 │        270.0400 │       descent ║
║ 1644131216 │        306.3600 │       descent ║
║ 1644131304 │        316.0800 │       descent ║
║ 1644131394 │        326.0400 │       descent ║
║ 1644131482 │        336.0000 │       descent ║
║ 1644131567 │        346.0800 │       descent ║
║ 1644131651 │        356.0400 │       descent ║
║ 1644131737 │        366.0000 │       descent ║
║ 1644131824 │        376.0800 │       descent ║
║ 1644131909 │        386.1200 │       descent ║
║ 1644131991 │        396.0000 │       descent ║
║ 1644132076 │        406.0800 │       descent ║
║ 1644132165 │        416.0000 │       descent ║
║ 1644132255 │        426.0400 │       descent ║
║ 1644132344 │        436.0400 │       descent ║
║ 1644132435 │        446.0800 │       descent ║
║ 1644132526 │        456.0800 │       descent ║
║ 1644132617 │        466.0800 │       descent ║
║ 1644133217 │        467.1600 │       descent ║
║ 1644133817 │        467.1200 │       descent ║
║ 1644134417 │        467.0800 │       descent ║
║ 1644134816 │        467.0400 │  descent seek ║
║ 1644135017 │        467.0400 │       descent ║
║ 1644135617 │        467.0000 │       descent ║
║ 1644136217 │        467.0000 │       descent ║
║ 1644136817 │        466.9600 │       descent ║
║ 1644137417 │        466.9600 │       descent ║
║ 1644138017 │        466.9200 │       descent ║
║ 1644138448 │        466.9200 │  descent seek ║
║ 1644138617 │        466.9200 │       descent ║
║ 1644139217 │        466.9200 │       descent ║
║ 1644139817 │        466.9200 │       descent ║
║ 1644140417 │        466.9200 │       descent ║
║ 1644141017 │        466.9600 │       descent ║
║ 1644141617 │        466.9600 │       descent ║
║ 1644142217 │        467.0000 │       descent ║
║ 1644142817 │        467.0400 │       descent ║
║ 1644143417 │        467.0400 │       descent ║
║ 1644144017 │        467.1200 │       descent ║
║ 1644144617 │        467.1600 │       descent ║
║ 1644145217 │        467.2000 │       descent ║
║ 1644145680 │        467.2400 │       descent ║
║ 1644566887 │        468.2000 │  ascent start ║
║ 1644567232 │        458.8000 │        ascent ║
║ 1644567306 │        448.9200 │        ascent ║
║ 1644567381 │        438.9600 │        ascent ║
║ 1644567452 │        428.8000 │        ascent ║
║ 1644567516 │        418.8400 │        ascent ║
║ 1644567580 │        408.8800 │        ascent ║
║ 1644567643 │        398.7600 │        ascent ║
║ 1644567698 │        388.8400 │        ascent ║
║ 1644567754 │        379.0000 │        ascent ║
║ 1644567811 │        368.8800 │        ascent ║
║ 1644567865 │        358.8400 │        ascent ║
║ 1644567917 │        348.6800 │        ascent ║
║ 1644567967 │        338.8800 │        ascent ║
║ 1644568019 │        328.7200 │        ascent ║
║ 1644568070 │        318.6400 │        ascent ║
║ 1644568115 │        309.0000 │        ascent ║
║ 1644568163 │        298.7600 │        ascent ║
║ 1644568210 │        288.8000 │        ascent ║
║ 1644568258 │        278.8000 │        ascent ║
║ 1644568304 │        268.6800 │        ascent ║
║ 1644568348 │        258.8800 │        ascent ║
║ 1644568392 │        248.9200 │        ascent ║
║ 1644568436 │        238.9600 │        ascent ║
║ 1644568482 │        228.8400 │        ascent ║
║ 1644568526 │        218.9200 │        ascent ║
║ 1644568572 │        208.6400 │        ascent ║
║ 1644568616 │        198.8800 │        ascent ║
║ 1644568662 │        188.6400 │        ascent ║
║ 1644568707 │        178.7600 │        ascent ║
║ 1644568751 │        168.9200 │        ascent ║
║ 1644568797 │        158.6800 │        ascent ║
║ 1644568841 │        148.8800 │        ascent ║
║ 1644568885 │        139.0000 │        ascent ║
║ 1644568931 │        128.8400 │        ascent ║
║ 1644568977 │        118.8400 │        ascent ║
║ 1644569023 │        108.6400 │        ascent ║
║ 1644569067 │         98.9200 │        ascent ║
║ 1644569113 │         88.7600 │        ascent ║
║ 1644569159 │         78.8800 │        ascent ║
║ 1644569203 │         68.9200 │        ascent ║
║ 1644569247 │         58.6800 │        ascent ║
║ 1644569290 │         48.8400 │        ascent ║
║ 1644569332 │         38.6400 │        ascent ║
║ 1644569371 │         28.8800 │        ascent ║
║ 1644569414 │         18.8000 │        ascent ║
║ 1644569458 │          9.0000 │        ascent ║
