=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 85
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1647675501 │          0.3200 │ descent start ║
║ 1647675872 │         10.2400 │       descent ║
║ 1647675947 │         20.0400 │       descent ║
║ 1647676024 │         30.2000 │       descent ║
║ 1647676098 │         40.0000 │       descent ║
║ 1647676174 │         50.0000 │       descent ║
║ 1647676177 │         50.4000 │  descent pump ║
║ 1647676254 │         60.0800 │       descent ║
║ 1647676335 │         70.0000 │       descent ║
║ 1647676418 │         80.0400 │       descent ║
║ 1647676501 │         90.0000 │       descent ║
║ 1647676589 │        100.0800 │       descent ║
║ 1647676677 │        110.0000 │       descent ║
║ 1647676763 │        120.0400 │       descent ║
║ 1647676846 │        130.0800 │       descent ║
║ 1647676928 │        140.0400 │       descent ║
║ 1647677010 │        150.0800 │       descent ║
║ 1647677090 │        160.0400 │       descent ║
║ 1647677171 │        170.0800 │       descent ║
║ 1647677253 │        180.0800 │       descent ║
║ 1647677337 │        190.0400 │       descent ║
║ 1647677424 │        200.0800 │       descent ║
║ 1647677511 │        210.0800 │       descent ║
║ 1647677598 │        220.0400 │       descent ║
║ 1647677685 │        230.0800 │       descent ║
║ 1647677773 │        240.0000 │       descent ║
║ 1647677864 │        250.0400 │       descent ║
║ 1647677954 │        260.0800 │       descent ║
║ 1647677982 │        263.2000 │  descent seek ║
║ 1647678328 │        303.2800 │       descent ║
║ 1647678412 │        313.0800 │       descent ║
║ 1647678497 │        323.0800 │       descent ║
║ 1647678583 │        333.0800 │       descent ║
║ 1647678667 │        343.0400 │       descent ║
║ 1647678749 │        353.0400 │       descent ║
║ 1647678833 │        363.0400 │       descent ║
║ 1647678919 │        373.0400 │       descent ║
║ 1647679006 │        383.0400 │       descent ║
║ 1647679094 │        393.0800 │       descent ║
║ 1647679183 │        403.0400 │       descent ║
║ 1647679273 │        413.0800 │       descent ║
║ 1647679360 │        423.0400 │       descent ║
║ 1647679447 │        433.0800 │       descent ║
║ 1647679535 │        443.0400 │       descent ║
║ 1647679621 │        453.0400 │       descent ║
║ 1647679710 │        463.0800 │       descent ║
║ 1647679797 │        473.0400 │       descent ║
║ 1647679883 │        483.0400 │       descent ║
║ 1647679971 │        493.0000 │       descent ║
║ 1647680571 │        498.7600 │       descent ║
║ 1647681171 │        498.8400 │       descent ║
║ 1647681771 │        498.9200 │       descent ║
║ 1647681929 │        498.9600 │  descent seek ║
║ 1647682371 │        499.0400 │       descent ║
║ 1647682971 │        499.1200 │       descent ║
║ 1647683571 │        499.2000 │       descent ║
║ 1647684171 │        499.3200 │       descent ║
║ 1647684771 │        499.4000 │       descent ║
║ 1647685371 │        499.4800 │       descent ║
║ 1647685562 │        499.5200 │  descent seek ║
║ 1647685971 │        499.6000 │       descent ║
║ 1647686571 │        499.6800 │       descent ║
║ 1647687171 │        499.7600 │       descent ║
║ 1647687771 │        499.8400 │       descent ║
║ 1647688371 │        499.9200 │       descent ║
║ 1647688971 │        500.0000 │       descent ║
║ 1647689571 │        500.0400 │       descent ║
║ 1647690171 │        500.1200 │       descent ║
║ 1647690771 │        500.1600 │       descent ║
║ 1647691371 │        500.2000 │       descent ║
║ 1647691971 │        500.2400 │       descent ║
║ 1647692571 │        500.3200 │       descent ║
║ 1647692795 │        500.3200 │       descent ║
║ 1648114003 │        498.9200 │  ascent start ║
║ 1648114232 │        489.0000 │        ascent ║
║ 1648114326 │        478.9200 │        ascent ║
║ 1648114399 │        468.8000 │        ascent ║
║ 1648114471 │        458.8000 │        ascent ║
║ 1648114543 │        448.9200 │        ascent ║
║ 1648114609 │        438.9600 │        ascent ║
║ 1648114674 │        428.7600 │        ascent ║
║ 1648114737 │        418.8400 │        ascent ║
║ 1648114792 │        408.9600 │        ascent ║
║ 1648114849 │        398.7600 │        ascent ║
║ 1648114907 │        388.7200 │        ascent ║
║ 1648114962 │        378.8800 │        ascent ║
║ 1648115014 │        368.6800 │        ascent ║
║ 1648115065 │        358.9200 │        ascent ║
║ 1648115117 │        348.8400 │        ascent ║
║ 1648115169 │        338.8400 │        ascent ║
║ 1648115217 │        328.8400 │        ascent ║
║ 1648115266 │        318.7200 │        ascent ║
║ 1648115313 │        308.8800 │        ascent ║
║ 1648115361 │        298.7200 │        ascent ║
║ 1648115407 │        288.9600 │        ascent ║
║ 1648115452 │        278.6400 │        ascent ║
║ 1648115497 │        268.7600 │        ascent ║
║ 1648115541 │        258.7600 │        ascent ║
║ 1648115585 │        248.8000 │        ascent ║
║ 1648115629 │        238.8800 │        ascent ║
║ 1648115675 │        228.8000 │        ascent ║
║ 1648115721 │        218.7200 │        ascent ║
║ 1648115765 │        208.6400 │        ascent ║
║ 1648115808 │        198.8400 │        ascent ║
║ 1648115852 │        188.8000 │        ascent ║
║ 1648115896 │        178.7200 │        ascent ║
║ 1648115941 │        168.7200 │        ascent ║
║ 1648115985 │        158.6000 │        ascent ║
║ 1648116027 │        148.8000 │        ascent ║
║ 1648116071 │        138.6400 │        ascent ║
║ 1648116114 │        128.8400 │        ascent ║
║ 1648116158 │        118.8000 │        ascent ║
║ 1648116201 │        108.9200 │        ascent ║
║ 1648116245 │         98.9200 │        ascent ║
║ 1648116289 │         88.9600 │        ascent ║
║ 1648116333 │         78.8400 │        ascent ║
║ 1648116378 │         68.7200 │        ascent ║
║ 1648116422 │         58.6800 │        ascent ║
║ 1648116464 │         48.9200 │        ascent ║
║ 1648116509 │         38.8400 │        ascent ║
║ 1648116553 │         28.6800 │        ascent ║
║ 1648116597 │         18.7600 │        ascent ║
║ 1648116641 │          8.8400 │        ascent ║
║ 1648116674 │          1.6400 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
║        500.2400 │             2.8690 │        34.2150 │           1201 ║
║        500.2400 │             2.8690 │        34.2140 │           3001 ║
║        500.1600 │             2.8660 │        34.2130 │           4801 ║
║        500.0000 │             2.8650 │        34.2130 │           6601 ║
║        499.8000 │             2.8650 │        34.2100 │           8401 ║
║        499.5200 │             2.8650 │        34.2120 │          10201 ║
║        499.2800 │             2.8650 │        34.2110 │          12001 ║
║        498.9600 │             2.8670 │        34.2130 │          13801 ║
║        498.6800 │             2.8670 │        34.2120 │          15601 ║
║        498.4000 │             2.8670 │        34.2120 │          17401 ║
║        498.2000 │             2.8680 │        34.2100 │          19201 ║
║        498.0000 │             2.8680 │        34.2130 │          21001 ║
║        497.8800 │             2.8770 │        34.2130 │          22801 ║
║        497.8800 │             2.8760 │        34.2130 │          24601 ║
║        497.9200 │             2.8800 │        34.2150 │          26401 ║
║        498.0400 │             2.8850 │        34.2160 │          28201 ║
║        498.2000 │             2.8800 │        34.2110 │          30001 ║
║        498.4000 │             2.8830 │        34.2130 │          31801 ║
║        498.6400 │             2.8810 │        34.1930 │          33601 ║
║        498.8800 │             2.8800 │        34.2110 │          35401 ║
║        499.1600 │             2.8800 │        34.2130 │          37201 ║
║        499.4000 │             2.8800 │        34.2120 │          39001 ║
║        499.6400 │             2.8810 │        34.2130 │          40801 ║
║        499.8400 │             2.8820 │        34.2120 │          42601 ║
║        499.9600 │             2.8830 │        34.2140 │          44401 ║
║        500.0400 │             2.8790 │        34.2120 │          46201 ║
║        500.0400 │             2.8800 │        34.2080 │          48001 ║
║        500.0000 │             2.8810 │        34.2130 │          49801 ║
║        499.8400 │             2.8790 │        34.2040 │          51601 ║
║        499.6400 │             2.8770 │        34.2100 │          53401 ║
║        499.3600 │             2.8720 │        34.2080 │          55201 ║
║        499.1200 │             2.8630 │        34.1940 │          57001 ║
║        498.8800 │             2.8670 │        34.1970 │          58801 ║
║        498.6800 │             2.8640 │        34.2090 │          60601 ║
║        498.4800 │             2.8590 │        34.2020 │          62401 ║
║        498.2800 │             2.8550 │        34.1990 │          64201 ║
║        498.1600 │             2.8520 │        34.2010 │          66001 ║
║        498.0800 │             2.8700 │        34.2070 │          67801 ║
║        498.0800 │             2.8760 │        34.2090 │          69601 ║
║        498.2000 │             2.8770 │        34.2100 │          71401 ║
║        498.3200 │             2.8750 │        34.2080 │          73201 ║
║        498.5600 │             2.8740 │        34.2060 │          75001 ║
║        498.8000 │             2.8690 │        34.2060 │          76801 ║
║        499.0800 │             2.8670 │        34.2040 │          78601 ║
║        499.3200 │             2.8640 │        34.2030 │          80401 ║
║        499.6000 │             2.8680 │        34.2040 │          82201 ║
║        499.8000 │             2.8700 │        34.2070 │          84001 ║
║        500.0000 │             2.8700 │        34.2040 │          85801 ║
║        500.1200 │             2.8700 │        34.2070 │          87601 ║
║        500.2000 │             2.8700 │        34.2050 │          89401 ║
║        500.2000 │             2.8700 │        34.2060 │          91201 ║
║        500.1200 │             2.8690 │        34.2030 │          93001 ║
║        500.0000 │             2.8690 │        34.2020 │          94801 ║
║        499.7600 │             2.8680 │        34.2040 │          96601 ║
║        499.5200 │             2.8590 │        34.2010 │          98401 ║
║        499.2400 │             2.8590 │        34.2020 │         100201 ║
║        498.9600 │             2.8660 │        34.2030 │         102001 ║
║        498.6800 │             2.8680 │        34.2040 │         103801 ║
║        498.4000 │             2.8680 │        34.2030 │         105601 ║
║        498.2000 │             2.8690 │        34.2000 │         107401 ║
║        498.0000 │             2.8670 │        34.2000 │         109201 ║
║        497.9200 │             2.8670 │        34.2010 │         111001 ║
║        497.8800 │             2.8670 │        34.2040 │         112801 ║
║        497.9200 │             2.8740 │        34.2050 │         114601 ║
║        498.0000 │             2.8750 │        34.2030 │         116401 ║
║        498.2000 │             2.8790 │        34.2050 │         118201 ║
║        498.4000 │             2.8810 │        34.2080 │         120001 ║
║        498.6400 │             2.8780 │        34.2060 │         121801 ║
║        498.8800 │             2.8740 │        34.2040 │         123601 ║
║        499.1600 │             2.8720 │        34.2040 │         125401 ║
║        499.4400 │             2.8710 │        34.2050 │         127201 ║
║        499.6800 │             2.8710 │        34.2020 │         129001 ║
║        499.8800 │             2.8740 │        34.2030 │         130801 ║
║        500.0400 │             2.8750 │        34.2010 │         132601 ║
║        500.1600 │             2.8760 │        34.2040 │         134401 ║
║        500.1600 │             2.8770 │        34.2030 │         136201 ║
║        500.0800 │             2.8740 │        34.2020 │         138001 ║
║        499.9600 │             2.8680 │        34.2030 │         139801 ║
║        499.7200 │             2.8690 │        34.2020 │         141601 ║
║        499.5200 │             2.8610 │        34.1980 │         143401 ║
║        499.2800 │             2.8620 │        34.1970 │         145201 ║
║        499.0400 │             2.8640 │        34.1950 │         147001 ║
║        498.8000 │             2.8640 │        34.1940 │         148801 ║
║        498.6000 │             2.8620 │        34.1960 │         150601 ║
║        498.4400 │             2.8640 │        34.1930 │         152401 ║
║        498.2800 │             2.8620 │        34.1940 │         154201 ║
║        498.2000 │             2.8610 │        34.1960 │         156001 ║
║        498.2000 │             2.8590 │        34.1950 │         157801 ║
║        498.2400 │             2.8610 │        34.1950 │         159601 ║
║        498.3600 │             2.8770 │        34.1970 │         161401 ║
║        498.5600 │             2.8780 │        34.2020 │         163201 ║
║        498.7600 │             2.8810 │        34.2030 │         165001 ║
║        499.0400 │             2.8810 │        34.1990 │         166801 ║
║        499.2800 │             2.8820 │        34.2010 │         168601 ║
║        499.5200 │             2.8810 │        34.2020 │         170401 ║
║        499.7600 │             2.8760 │        34.2010 │         172201 ║
║        499.9200 │             2.8770 │        34.1990 │         174001 ║
║        500.0400 │             2.8810 │        34.2000 │         175801 ║
║        500.1200 │             2.8770 │        34.1990 │         177601 ║
║        500.1200 │             2.8780 │        34.2000 │         179401 ║
║        500.0800 │             2.8700 │        34.1960 │         181201 ║
║        499.9200 │             2.8680 │        34.1970 │         183001 ║
║        499.7200 │             2.8740 │        34.1950 │         184801 ║
║        499.4800 │             2.8760 │        34.1980 │         186601 ║
║        499.2000 │             2.8790 │        34.1990 │         188401 ║
║        498.9200 │             2.8810 │        34.2010 │         190201 ║
║        498.6400 │             2.8800 │        34.2000 │         192001 ║
║        498.4000 │             2.8800 │        34.1990 │         193801 ║
║        498.2000 │             2.8740 │        34.1930 │         195601 ║
║        498.0400 │             2.8750 │        34.1980 │         197401 ║
║        497.9200 │             2.8760 │        34.1980 │         199201 ║
║        497.9200 │             2.8740 │        34.1960 │         201001 ║
║        497.9600 │             2.8720 │        34.1940 │         202801 ║
║        498.0400 │             2.8640 │        34.1950 │         204601 ║
║        498.2000 │             2.8860 │        34.2010 │         206401 ║
║        498.4000 │             2.8840 │        34.1980 │         208201 ║
║        498.6400 │             2.8820 │        34.1990 │         210001 ║
║        498.9200 │             2.8750 │        34.1970 │         211801 ║
║        499.2000 │             2.8730 │        34.1930 │         213601 ║
║        499.4400 │             2.8740 │        34.1950 │         215401 ║
║        499.7200 │             2.8720 │        34.1940 │         217201 ║
║        499.9200 │             2.8740 │        34.1940 │         219001 ║
║        500.0800 │             2.8720 │        34.1920 │         220801 ║
║        500.1600 │             2.8750 │        34.1950 │         222601 ║
║        500.2000 │             2.8680 │        34.1930 │         224401 ║
║        500.1600 │             2.8700 │        34.1920 │         226201 ║
║        500.0000 │             2.8670 │        34.1920 │         228001 ║
║        499.8400 │             2.8650 │        34.1920 │         229801 ║
║        499.6000 │             2.8610 │        34.1880 │         231601 ║
║        499.4000 │             2.8580 │        34.1880 │         233401 ║
║        499.2000 │             2.8580 │        34.1850 │         235201 ║
║        499.0000 │             2.8610 │        34.1880 │         237001 ║
║        498.8000 │             2.8620 │        34.1870 │         238801 ║
║        498.6400 │             2.8620 │        34.1860 │         240601 ║
║        498.4800 │             2.8620 │        34.1870 │         242401 ║
║        498.4000 │             2.8600 │        34.1870 │         244201 ║
║        498.3600 │             2.8950 │        34.1900 │         246001 ║
║        498.4000 │             2.8790 │        34.1920 │         247801 ║
║        498.4800 │             2.8830 │        34.1930 │         249601 ║
║        498.6000 │             2.8760 │        34.1910 │         251401 ║
║        498.7600 │             2.8870 │        34.1930 │         253201 ║
║        499.0000 │             2.8880 │        34.1940 │         255001 ║
║        499.2000 │             2.8860 │        34.1920 │         256801 ║
║        499.4000 │             2.8840 │        34.1940 │         258601 ║
║        499.6000 │             2.8870 │        34.1940 │         260401 ║
║        499.7600 │             2.8840 │        34.1940 │         262201 ║
║        499.8800 │             2.8800 │        34.1940 │         264001 ║
║        499.9600 │             2.8780 │        34.1950 │         265801 ║
║        500.0000 │             2.8840 │        34.1950 │         267601 ║
║        499.9600 │             2.8850 │        34.1940 │         269401 ║
║        499.8400 │             2.8820 │        34.1940 │         271201 ║
║        499.6800 │             2.8820 │        34.1890 │         273001 ║
║        499.4400 │             2.8810 │        34.1940 │         274801 ║
║        499.2000 │             2.8810 │        34.1900 │         276601 ║
║        498.9600 │             2.8810 │        34.1910 │         278401 ║
║        498.7200 │             2.8810 │        34.1890 │         280201 ║
║        498.4800 │             2.8760 │        34.1960 │         282001 ║
║        498.3200 │             2.8790 │        34.1940 │         283801 ║
║        498.1600 │             2.8820 │        34.1930 │         285601 ║
║        498.0800 │             2.8840 │        34.1920 │         287401 ║
║        498.0400 │             2.8820 │        34.1950 │         289201 ║
║        498.0800 │             2.8810 │        34.1910 │         291001 ║
║        498.1600 │             2.8800 │        34.1940 │         292801 ║
║        498.2800 │             2.8770 │        34.1920 │         294601 ║
║        498.4400 │             2.8730 │        34.1900 │         296401 ║
║        498.6400 │             2.8760 │        34.1910 │         298201 ║
║        498.8800 │             2.8750 │        34.1900 │         300001 ║
║        499.1200 │             2.8750 │        34.1880 │         301801 ║
║        499.3600 │             2.8740 │        34.1910 │         303601 ║
║        499.6000 │             2.8740 │        34.1940 │         305401 ║
║        499.8000 │             2.8760 │        34.1910 │         307201 ║
║        499.9600 │             2.8750 │        34.1930 │         309001 ║
║        500.0800 │             2.8730 │        34.1880 │         310801 ║
║        500.1200 │             2.8710 │        34.1910 │         312601 ║
║        500.1200 │             2.8640 │        34.1900 │         314401 ║
║        500.0000 │             2.8590 │        34.1790 │         316201 ║
║        499.8800 │             2.8710 │        34.1850 │         318001 ║
║        499.7200 │             2.8690 │        34.1860 │         319801 ║
║        499.5200 │             2.8680 │        34.1870 │         321601 ║
║        499.3600 │             2.8630 │        34.1840 │         323401 ║
║        499.1600 │             2.8630 │        34.1840 │         325201 ║
║        498.9600 │             2.8730 │        34.1840 │         327001 ║
║        498.8000 │             2.8700 │        34.1900 │         328801 ║
║        498.6800 │             2.8730 │        34.1880 │         330601 ║
║        498.5600 │             2.8720 │        34.1880 │         332401 ║
║        498.5200 │             2.8710 │        34.1880 │         334201 ║
║        498.4800 │             2.8780 │        34.1890 │         336001 ║
║        498.5200 │             2.8770 │        34.1910 │         337801 ║
║        498.6000 │             2.8830 │        34.1900 │         339601 ║
║        498.7600 │             2.8920 │        34.1900 │         341401 ║
║        498.8800 │             2.8920 │        34.1900 │         343201 ║
║        499.0400 │             2.8920 │        34.1910 │         345001 ║
║        499.2400 │             2.8910 │        34.1900 │         346801 ║
║        499.3600 │             2.8910 │        34.1910 │         348601 ║
║        499.4800 │             2.8920 │        34.1900 │         350401 ║
║        499.6000 │             2.8920 │        34.1900 │         352201 ║
║        499.6800 │             2.8920 │        34.1910 │         354001 ║
║        499.7200 │             2.8910 │        34.1910 │         355801 ║
║        499.7200 │             2.8910 │        34.1890 │         357601 ║
║        499.6400 │             2.8920 │        34.1870 │         359401 ║
║        499.5200 │             2.8920 │        34.1900 │         361201 ║
║        499.3600 │             2.8900 │        34.1870 │         363001 ║
║        499.1600 │             2.8900 │        34.1880 │         364801 ║
║        498.9600 │             2.8860 │        34.1880 │         366601 ║
║        498.7200 │             2.8800 │        34.1840 │         368401 ║
║        498.5200 │             2.8820 │        34.1840 │         370201 ║
║        498.3600 │             2.8870 │        34.1780 │         372001 ║
║        498.2400 │             2.8880 │        34.1890 │         373801 ║
║        498.1600 │             2.8870 │        34.1860 │         375601 ║
║        498.1200 │             2.8870 │        34.1850 │         377401 ║
║        498.1600 │             2.8880 │        34.1890 │         379201 ║
║        498.2400 │             2.8840 │        34.1910 │         381001 ║
║        498.3200 │             2.8850 │        34.1860 │         382801 ║
║        498.4400 │             2.8840 │        34.1880 │         384601 ║
║        498.6400 │             2.8830 │        34.1880 │         386401 ║
║        498.8000 │             2.8820 │        34.1890 │         388201 ║
║        499.0400 │             2.8830 │        34.1860 │         390001 ║
║        499.2800 │             2.8830 │        34.1850 │         391801 ║
║        499.4800 │             2.8820 │        34.1870 │         393601 ║
║        499.6800 │             2.8820 │        34.1870 │         395401 ║
║        499.8400 │             2.8830 │        34.1880 │         397201 ║
║        499.9200 │             2.8830 │        34.1860 │         399001 ║
║        500.0000 │             2.8850 │        34.1860 │         400801 ║
║        500.0400 │             2.8850 │        34.1850 │         402601 ║
║        500.0000 │             2.8820 │        34.1860 │         404401 ║
║        499.9200 │             2.8840 │        34.1840 │         406201 ║
║        499.8000 │             2.8710 │        34.1800 │         408001 ║
║        499.6800 │             2.8780 │        34.1840 │         409801 ║
║        499.5200 │             2.8720 │        34.1830 │         411601 ║
║        499.4000 │             2.8820 │        34.1840 │         413401 ║
║        499.2400 │             2.8810 │        34.1200 │         415201 ║
║        499.0800 │             2.8760 │        34.1860 │         417001 ║
║        498.9600 │             2.8800 │        34.1810 │         418801 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        498.8800 │             2.8840 │        34.1650 │       2.9410 ║
║        497.4800 │             2.8840 │        34.1950 │       2.9450 ║
║        496.4800 │             2.8830 │        34.1930 │       3.0120 ║
║        495.5200 │             2.8830 │        34.1990 │       3.0030 ║
║        494.5200 │             2.8820 │        34.2000 │       2.8990 ║
║        493.4800 │             2.8810 │        34.2000 │       2.9080 ║
║        492.4800 │             2.8810 │        34.2000 │       2.8810 ║
║        491.4400 │             2.8800 │        34.2020 │       2.8640 ║
║        490.4000 │             2.8800 │        34.2020 │       2.9080 ║
║        489.5200 │             2.8800 │        34.2010 │       2.9160 ║
║        488.6000 │             2.8800 │        34.2010 │       2.9080 ║
║        487.6000 │             2.8800 │        34.2010 │       3.0120 ║
║        486.6000 │             2.8800 │        34.2020 │       2.8200 ║
║        485.5600 │             2.8800 │        34.2020 │       2.9600 ║
║        484.5200 │             2.8800 │        34.2010 │       2.9250 ║
║        483.4800 │             2.8790 │        34.2030 │       2.9250 ║
║        482.5200 │             2.8790 │        34.2030 │       2.8840 ║
║        481.5200 │             2.8790 │        34.2030 │       2.9340 ║
║        480.5200 │             2.8790 │        34.2050 │       2.9050 ║
║        479.5200 │             2.8790 │        34.2050 │       2.9380 ║
║        478.5200 │             2.8790 │        34.2060 │       2.8070 ║
║        477.4400 │             2.8780 │        34.2050 │       2.9270 ║
║        476.4800 │             2.8790 │        34.2030 │       2.8580 ║
║        475.4800 │             2.8760 │        34.2050 │       2.8940 ║
║        474.4800 │             2.8760 │        34.2050 │       2.9310 ║
║        473.5200 │             2.8760 │        34.2060 │       2.9050 ║
║        472.5200 │             2.8750 │        34.2050 │       2.9600 ║
║        471.6000 │             2.8740 │        34.2050 │       2.8290 ║
║        470.4400 │             2.8730 │        34.2060 │       2.8840 ║
║        469.4800 │             2.8730 │        34.2040 │       2.9450 ║
║        468.5200 │             2.8720 │        34.2050 │       3.0140 ║
║        467.4400 │             2.8710 │        34.2040 │       2.9710 ║
║        466.4800 │             2.8700 │        34.2030 │       2.8730 ║
║        465.5200 │             2.8710 │        34.2040 │       2.9820 ║
║        464.4400 │             2.8710 │        34.2040 │       3.0030 ║
║        463.4800 │             2.8710 │        34.2040 │       2.9740 ║
║        462.5200 │             2.8710 │        34.2040 │       2.8730 ║
║        461.5200 │             2.8700 │        34.2050 │       3.0470 ║
║        460.5600 │             2.8700 │        34.2050 │       2.8730 ║
║        459.4400 │             2.8700 │        34.2060 │       2.9270 ║
║        458.4400 │             2.8700 │        34.2060 │       2.9310 ║
║        457.4800 │             2.8700 │        34.2050 │       2.9490 ║
║        456.4800 │             2.8700 │        34.2060 │       2.9020 ║
