=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 88
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-04-08 19:42:00 UTC
latitude:  69.103968
longitude: -51.9383141
ttf:       80
nsat:      9
min snr:   0
mean snr:  34
max snr:   46
hdop:      0.9

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1649006080 │          0.4000 │ descent start ║
║ 1649006428 │         10.1600 │       descent ║
║ 1649006507 │         20.1200 │       descent ║
║ 1649006584 │         30.0000 │       descent ║
║ 1649006662 │         40.1200 │       descent ║
║ 1649006739 │         50.2000 │       descent ║
║ 1649006742 │         50.6000 │  descent pump ║
║ 1649006817 │         60.0400 │       descent ║
║ 1649006897 │         70.1200 │       descent ║
║ 1649006978 │         80.0800 │       descent ║
║ 1649007058 │         90.0400 │       descent ║
║ 1649007139 │        100.0400 │       descent ║
║ 1649007220 │        110.0400 │       descent ║
║ 1649007303 │        120.0400 │       descent ║
║ 1649007390 │        130.0800 │       descent ║
║ 1649007475 │        140.0000 │       descent ║
║ 1649007561 │        150.0800 │       descent ║
║ 1649007646 │        160.0800 │       descent ║
║ 1649007728 │        170.0000 │       descent ║
║ 1649007813 │        180.0000 │       descent ║
║ 1649007898 │        190.0800 │       descent ║
║ 1649007981 │        200.0800 │       descent ║
║ 1649008064 │        210.0800 │       descent ║
║ 1649008148 │        220.0400 │       descent ║
║ 1649008232 │        230.0400 │       descent ║
║ 1649008318 │        240.0800 │       descent ║
║ 1649008404 │        250.0800 │       descent ║
║ 1649008490 │        260.0000 │       descent ║
║ 1649008548 │        266.5600 │  descent seek ║
║ 1649008894 │        306.4800 │       descent ║
║ 1649008979 │        316.0800 │       descent ║
║ 1649009070 │        326.0400 │       descent ║
║ 1649009160 │        336.0000 │       descent ║
║ 1649009252 │        346.0400 │       descent ║
║ 1649009342 │        356.0800 │       descent ║
║ 1649009432 │        366.0400 │       descent ║
║ 1649009521 │        376.0400 │       descent ║
║ 1649009608 │        386.0400 │       descent ║
║ 1649009697 │        396.0800 │       descent ║
║ 1649009785 │        406.0000 │       descent ║
║ 1649010385 │        409.5600 │       descent ║
║ 1649010985 │        409.4800 │       descent ║
║ 1649011585 │        409.4400 │       descent ║
║ 1649012185 │        409.4400 │       descent ║
║ 1649012494 │        409.4400 │  descent seek ║
║ 1649012785 │        409.4000 │       descent ║
║ 1649013385 │        409.4000 │       descent ║
║ 1649013985 │        409.3600 │       descent ║
║ 1649014585 │        409.3600 │       descent ║
║ 1649015185 │        409.3600 │       descent ║
║ 1649015785 │        409.4000 │       descent ║
║ 1649016125 │        409.4000 │  descent seek ║
║ 1649016385 │        409.4000 │       descent ║
║ 1649016985 │        409.4400 │       descent ║
║ 1649017585 │        409.4800 │       descent ║
║ 1649018185 │        409.5200 │       descent ║
║ 1649018785 │        409.5600 │       descent ║
║ 1649019385 │        409.6000 │       descent ║
║ 1649019985 │        409.6800 │       descent ║
║ 1649020585 │        409.7200 │       descent ║
║ 1649021185 │        409.8000 │       descent ║
║ 1649021785 │        409.8800 │       descent ║
║ 1649022384 │        409.9200 │       descent ║
║ 1649022985 │        410.0000 │       descent ║
║ 1649023357 │        410.0400 │       descent ║
║ 1649444566 │        410.2400 │  ascent start ║
║ 1649444776 │        400.8400 │        ascent ║
║ 1649444873 │        390.8800 │        ascent ║
║ 1649444953 │        380.8000 │        ascent ║
