=============
Float 9313 (Alamo/Alto)
-------------
Float 9313, Dive 41
Product ID STANDARD
Software Version 10.2.2
Trajectory
GPS fixes:
fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤════════╗
║       time │ pressure (dBar) │   code ║
╟────────────┼─────────────────┼────────╢
║ 1673855499 │        786.9600 │ ascent ║
║ 1673856099 │        786.9600 │ ascent ║
║ 1673856699 │        786.9600 │ ascent ║
║ 1673857299 │        786.9600 │ ascent ║
║ 1673857899 │        786.9200 │ ascent ║
║ 1673858499 │        786.9200 │ ascent ║
║ 1673859099 │        786.9200 │ ascent ║
║ 1673859699 │        786.9200 │ ascent ║
║ 1673860299 │        786.8800 │ ascent ║
║ 1673860899 │        786.8800 │ ascent ║
║ 1673861499 │        786.8400 │ ascent ║
║ 1673862099 │        786.8400 │ ascent ║
║ 1673862700 │        786.8000 │ ascent ║
║ 1673863301 │        786.7600 │ ascent ║
║ 1673863901 │        786.7600 │ ascent ║
║ 1673864501 │        786.7200 │ ascent ║
║ 1673865101 │        786.6800 │ ascent ║
║ 1673865702 │        786.6800 │ ascent ║
║ 1673866303 │        786.6400 │ ascent ║
║ 1673866903 │        786.6400 │ ascent ║
║ 1673867503 │        786.6000 │ ascent ║
║ 1673868103 │        786.5600 │ ascent ║
║ 1673868703 │        786.5600 │ ascent ║
║ 1673869303 │        786.5200 │ ascent ║
║ 1673869904 │        786.5200 │ ascent ║
║ 1673870505 │        786.5200 │ ascent ║
║ 1673871106 │        786.5200 │ ascent ║
║ 1673871707 │        786.4800 │ ascent ║
║ 1673872308 │        786.4800 │ ascent ║
║ 1673872909 │        786.4800 │ ascent ║
║ 1673873510 │        786.4800 │ ascent ║
║ 1673874111 │        786.4800 │ ascent ║
║ 1673874711 │        786.5200 │ ascent ║
║ 1673875311 │        786.5200 │ ascent ║
║ 1673875912 │        786.5200 │ ascent ║
║ 1673876513 │        786.5600 │ ascent ║
║ 1673877113 │        786.5600 │ ascent ║
║ 1673877713 │        786.6000 │ ascent ║
║ 1673878314 │        786.6000 │ ascent ║
║ 1673878915 │        786.6400 │ ascent ║
║ 1673879515 │        786.6400 │ ascent ║
║ 1673880115 │        786.6800 │ ascent ║
║ 1673880715 │        786.7200 │ ascent ║
║ 1673881315 │        786.7200 │ ascent ║
║ 1673881916 │        786.7600 │ ascent ║
║ 1673882517 │        786.8000 │ ascent ║
║ 1673883118 │        786.8000 │ ascent ║
║ 1673883719 │        786.8400 │ ascent ║
║ 1673884319 │        786.8400 │ ascent ║
║ 1673884919 │        786.8800 │ ascent ║
║ 1673885519 │        786.9200 │ ascent ║
║ 1673886119 │        786.9200 │ ascent ║
║ 1673886720 │        786.9200 │ ascent ║
║ 1673887321 │        786.9600 │ ascent ║
║ 1673887922 │        786.9600 │ ascent ║
║ 1673888522 │        786.9600 │ ascent ║
║ 1673889123 │        787.0000 │ ascent ║
║ 1673889724 │        787.0000 │ ascent ║
║ 1673890325 │        787.0400 │ ascent ║
║ 1673890926 │        787.0000 │ ascent ║
║ 1673891527 │        787.0400 │ ascent ║
║ 1673892128 │        787.0400 │ ascent ║
║ 1673892729 │        787.0400 │ ascent ║
║ 1673893330 │        787.0400 │ ascent ║
║ 1673893931 │        787.0400 │ ascent ║
║ 1673894532 │        787.0400 │ ascent ║
║ 1673895133 │        787.0000 │ ascent ║
║ 1673895733 │        787.0000 │ ascent ║
║ 1673896333 │        787.0000 │ ascent ║
║ 1673896934 │        786.9600 │ ascent ║
║ 1673897535 │        786.9600 │ ascent ║
║ 1673898135 │        786.9200 │ ascent ║
║ 1673898735 │        786.8800 │ ascent ║
║ 1673899336 │        786.8800 │ ascent ║
║ 1673899937 │        786.8400 │ ascent ║
║ 1673900538 │        786.8000 │ ascent ║
║ 1673901139 │        786.7600 │ ascent ║
║ 1673901740 │        786.7200 │ ascent ║
║ 1673902341 │        786.6800 │ ascent ║
║ 1673902942 │        786.6400 │ ascent ║
║ 1673903543 │        786.5600 │ ascent ║
║ 1673904144 │        786.5200 │ ascent ║
║ 1673904745 │        786.4800 │ ascent ║
║ 1673905346 │        786.4400 │ ascent ║
║ 1673905947 │        786.3600 │ ascent ║
║ 1673906548 │        786.3200 │ ascent ║
║ 1673907149 │        786.2800 │ ascent ║
║ 1673907749 │        786.2400 │ ascent ║
║ 1673908349 │        786.2000 │ ascent ║
║ 1673908950 │        786.1600 │ ascent ║
║ 1673909551 │        786.1200 │ ascent ║
║ 1673910152 │        786.0800 │ ascent ║
║ 1673910753 │        786.0400 │ ascent ║
║ 1673911353 │        786.0000 │ ascent ║
║ 1673911953 │        786.0000 │ ascent ║
║ 1673912553 │        785.9600 │ ascent ║
║ 1673913154 │        785.9200 │ ascent ║
║ 1673913755 │        785.9200 │ ascent ║
║ 1673914355 │        785.8800 │ ascent ║
║ 1673914956 │        785.8800 │ ascent ║
║ 1673915556 │        785.8400 │ ascent ║
║ 1673916157 │        785.8400 │ ascent ║
║ 1673916757 │        785.8400 │ ascent ║
║ 1673917358 │        785.8400 │ ascent ║
║ 1673917958 │        785.8000 │ ascent ║
║ 1673918559 │        785.8000 │ ascent ║
║ 1673919159 │        785.8000 │ ascent ║
║ 1673919760 │        785.8000 │ ascent ║
║ 1673920360 │        785.8400 │ ascent ║
║ 1673920961 │        785.8400 │ ascent ║
║ 1673921561 │        785.8400 │ ascent ║
║ 1673922162 │        785.8800 │ ascent ║
║ 1673922762 │        785.8800 │ ascent ║
║ 1673923363 │        785.9200 │ ascent ║
║ 1673923964 │        785.9600 │ ascent ║
║ 1673924564 │        785.9600 │ ascent ║
║ 1673925165 │        786.0000 │ ascent ║
║ 1673925766 │        786.0400 │ ascent ║
║ 1673926367 │        786.0800 │ ascent ║
║ 1673926968 │        786.1200 │ ascent ║
║ 1673927569 │        786.1600 │ ascent ║
║ 1673928170 │        786.2400 │ ascent ║
║ 1673928771 │        786.2800 │ ascent ║
║ 1673929372 │        786.3200 │ ascent ║
║ 1673929973 │        786.3600 │ ascent ║
║ 1673930574 │        786.4000 │ ascent ║
║ 1673931174 │        786.4800 │ ascent ║
║ 1673931775 │        786.5200 │ ascent ║
║ 1673932376 │        786.5600 │ ascent ║
║ 1673932977 │        786.6000 │ ascent ║
║ 1673933578 │        786.6400 │ ascent ║
║ 1673934179 │        786.7200 │ ascent ║
║ 1673934780 │        786.7600 │ ascent ║
║ 1673935381 │        786.8000 │ ascent ║
║ 1673935982 │        786.8400 │ ascent ║
║ 1673936582 │        786.8800 │ ascent ║
║ 1673937182 │        786.9200 │ ascent ║
║ 1673937782 │        786.9600 │ ascent ║
║ 1673938382 │        787.0000 │ ascent ║
║ 1673938982 │        787.0400 │ ascent ║
║ 1673939583 │        787.0400 │ ascent ║
║ 1673940184 │        787.0800 │ ascent ║
║ 1673940785 │        787.0800 │ ascent ║
║ 1673941386 │        787.1200 │ ascent ║
║ 1673941987 │        787.1200 │ ascent ║
║ 1673942588 │        787.1600 │ ascent ║
║ 1673943189 │        787.1600 │ ascent ║
║ 1673943790 │        787.1600 │ ascent ║
║ 1673944246 │        777.3200 │ ascent ║
║ 1673944258 │        767.6400 │ ascent ║
║ 1673944270 │        757.9600 │ ascent ║
║ 1673944284 │        747.0800 │ ascent ║
║ 1673944296 │        737.6800 │ ascent ║
║ 1673944309 │        726.9600 │ ascent ║
║ 1673944323 │        716.1200 │ ascent ║
║ 1673944335 │        706.6800 │ ascent ║
║ 1673944349 │        695.8000 │ ascent ║
║ 1673944363 │        685.2000 │ ascent ║
║ 1673944375 │        675.8400 │ ascent ║
║ 1673944389 │        664.9600 │ ascent ║
║ 1673944402 │        654.0400 │ ascent ║
║ 1673944414 │        644.4800 │ ascent ║
║ 1673944427 │        634.9600 │ ascent ║
║ 1673944440 │        623.9200 │ ascent ║
║ 1673944454 │        612.9600 │ ascent ║
║ 1673944468 │        602.0400 │ ascent ║
║ 1673944480 │        592.5200 │ ascent ║
║ 1673944492 │        582.9200 │ ascent ║
║ 1673944506 │        571.9600 │ ascent ║
║ 1673944520 │        560.9200 │ ascent ║
║ 1673944533 │        549.9600 │ ascent ║
║ 1673944547 │        539.0400 │ ascent ║
║ 1673944559 │        529.4800 │ ascent ║
║ 1673944571 │        519.9200 │ ascent ║
║ 1673944585 │        509.0000 │ ascent ║
║ 1673944597 │        499.4400 │ ascent ║
║ 1673944609 │        489.8800 │ ascent ║
║ 1673944623 │        478.8400 │ ascent ║
║ 1673944637 │        468.0800 │ ascent ║
║ 1673944649 │        458.5200 │ ascent ║
║ 1673944661 │        448.6400 │ ascent ║
║ 1673944675 │        437.8400 │ ascent ║
║ 1673944689 │        426.8400 │ ascent ║
║ 1673944702 │        415.8000 │ ascent ║
║ 1673944716 │        404.8000 │ ascent ║
║ 1673944730 │        393.8400 │ ascent ║
║ 1673944744 │        382.8800 │ ascent ║
║ 1673944758 │        371.9600 │ ascent ║
║ 1673944771 │        361.0000 │ ascent ║
║ 1673944785 │        350.0800 │ ascent ║
║ 1673944797 │        340.5200 │ ascent ║
║ 1673944809 │        330.9600 │ ascent ║
╚════════════╧═════════════════╧════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
<empty>


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        786.2000 │             3.5820 │        34.4130 │       3.5880 ║
║        785.8800 │             3.5740 │        34.4070 │       3.5720 ║
║        782.8800 │             3.5600 │        34.4310 │       3.6900 ║
║        781.5200 │             3.5600 │        34.4320 │       3.4770 ║
║        778.8800 │             3.5610 │        34.4320 │       3.5190 ║
║        776.4800 │             3.5610 │        34.4330 │       3.5190 ║
║        774.8800 │             3.5600 │        34.4330 │       3.5620 ║
║        773.2800 │             3.5590 │        34.4350 │       3.6050 ║
║        770.9600 │             3.5600 │        34.4330 │       3.5190 ║
