Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,1.0,9.2462,3.454882,32.0688,1024.7902,0.10,0.549,243.47,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,2.0,9.2274,3.450593,32.0404,1024.7756,0.09,0.428,199.98,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,3.0,9.223,3.449759,32.0352,1024.7768,0.09,0.373,167.82,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,4.0,9.2153,3.448033,32.0239,1024.7738,0.10,0.403,118.51,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,5.0,9.1928,3.448701,32.0506,1024.8028,0.11,0.38,109.67,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,6.0,8.9609,3.456473,32.3402,1025.07,0.11,0.248,100.44,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,7.0,8.6942,3.436707,32.3772,1025.1444,0.12,0.248,89.22,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,8.0,8.3004,3.414457,32.5051,1025.3083,0.13,0.252,81.06,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,9.0,7.9673,3.39233,32.5788,1025.4194,0.13,0.222,77.31,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,10.0,7.3548,3.340504,32.5955,1025.5232,0.14,0.258,70.21,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,11.0,6.6171,3.279257,32.6248,1025.6492,0.16,0.266,65.32,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,12.0,5.715,3.218586,32.8169,1025.9184,0.17,0.261,59.48,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,13.0,5.2908,3.190639,32.914,1026.0499,0.16,0.254,53.24,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,14.0,4.562,3.13258,32.9661,1026.1769,0.15,0.255,47.66,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,15.0,4.3063,3.121039,33.0862,1026.3036,0.14,0.271,43.6,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,16.0,4.2043,3.112483,33.0879,1026.3201,0.16,0.264,39.5,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,17.0,3.9892,3.08921,33.0294,1026.3,0.17,0.277,35.61,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,18.0,3.4654,3.050677,33.1013,1026.4126,0.16,0.27,32.33,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,19.0,3.2822,3.034657,33.0951,1026.4295,0.17,0.269,29.01,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,20.0,2.8128,2.999642,33.1524,1026.5214,0.18,0.262,25.92,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,21.0,2.8017,3.004755,33.2257,1026.5858,0.20,0.278,23.64,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,22.0,2.8986,3.01436,33.2421,1026.5952,0.23,0.281,21.47,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,23.0,2.9542,3.016305,33.2078,1026.5677,0.27,0.273,19.33,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,24.0,2.7859,3.003771,33.2284,1026.6035,0.31,0.282,17.42,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,25.0,2.6731,2.991735,33.1973,1026.5929,0.35,0.294,15.66,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,26.0,2.3819,2.970364,33.2365,1026.6531,0.41,0.306,13.98,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,27.0,2.2044,2.953891,33.2172,1026.6565,0.45,0.342,12.52,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,28.0,2.0059,2.940115,33.253,1026.7053,0.49,0.332,11.14,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,29.0,1.9599,2.938582,33.2817,1026.7365,0.56,0.322,9.88,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,30.0,1.9233,2.93581,33.285,1026.7467,0.67,0.352,8.82,Seabird SBE19plus
2022-07-28,44770,69° 11.1 N,53° 31.1 W,Fast station,31.0,1.8053,2.928217,33.3137,1026.7832,0.77,0.345,7.78,Seabird SBE19plus
