Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,1.0,1.661,2.8682,32.7269,1026.1797,0.75,0.288,51.51,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,2.0,1.638,2.8734,32.8161,1026.2577,0.98,0.315,39.22,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,3.0,1.689,2.8788,32.8302,1026.2702,0.95,0.537,30.37,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,4.0,1.743,2.8821,32.8154,1026.2594,0.96,0.312,25.7,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,5.0,1.794,2.8879,32.833,1026.2746,0.76,0.278,21.37,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,6.0,1.823,2.8909,32.8402,1026.2831,0.81,0.262,17.89,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,7.0,1.845,2.8934,32.8481,1026.2926,0.84,0.256,16.87,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,8.0,1.849,2.8949,32.8626,1026.3087,0.83,0.214,14.78,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,9.0,1.855,2.8967,32.8781,1026.3255,0.73,0.213,13.49,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,10.0,1.858,2.8991,32.9054,1026.3519,0.63,0.163,12.26,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,11.0,1.858,2.9007,32.9249,1026.3723,0.57,0.177,11.05,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,12.0,1.860,2.9015,32.9323,1026.3829,0.54,0.167,10.84,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,13.0,1.876,2.9046,32.9528,1026.4029,0.46,0.133,9.62,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,14.0,1.924,2.9097,32.9671,1026.4157,0.46,0.101,8.99,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,15.0,1.932,2.9093,32.9531,1026.4086,0.47,0.133,8.18,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,16.0,1.925,2.9093,32.9596,1026.4191,0.46,0.134,7.7,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,17.0,1.922,2.9094,32.9628,1026.4266,0.43,0.155,7.08,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,18.0,1.921,2.9097,32.9677,1026.4354,0.47,0.145,6.52,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,19.0,1.928,2.9104,32.9686,1026.4404,0.45,0.163,6.01,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,20.0,1.932,2.911,32.9713,1026.447,0.44,0.149,5.55,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,21.0,1.935,2.9114,32.9725,1026.4526,0.46,0.147,5.2,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,22.0,1.942,2.9124,32.9772,1026.4606,0.47,0.15,4.75,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,23.0,1.951,2.914,32.9871,1026.4727,0.42,0.131,4.34,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,24.0,1.988,2.917,32.9849,1026.4729,0.46,0.149,4.05,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,25.0,1.993,2.918,32.9922,1026.4831,0.41,0.198,3.76,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,26.0,2.004,2.9186,32.9874,1026.4832,0.43,0.156,3.5,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,27.0,2.009,2.9189,32.9851,1026.4857,0.44,0.137,3.16,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,28.0,2.011,2.9193,32.9876,1026.4924,0.41,0.128,2.95,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,29.0,2.020,2.9203,32.9903,1026.4986,0.43,0.146,2.72,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,30.0,2.029,2.9223,33.0056,1026.515,0.60,0.142,2.51,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,31.0,2.049,2.9235,32.9987,1026.5127,0.45,0.13,2.34,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,32.0,2.054,2.9238,32.9973,1026.516,0.45,0.139,2.15,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,33.0,2.055,2.924,32.9982,1026.5214,0.42,0.133,1.98,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,34.0,2.056,2.9242,32.9991,1026.5269,0.43,0.14,1.84,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,35.0,2.056,2.9244,33.0003,1026.5326,0.44,0.18,1.71,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,36.0,2.058,2.9246,33.0006,1026.5374,0.41,0.171,1.58,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,37.0,2.055,2.9246,33.0029,1026.5443,0.44,0.126,1.45,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,38.0,2.054,2.9248,33.0059,1026.5515,0.46,0.146,1.35,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,39.0,2.062,2.9268,33.022,1026.5685,0.41,0.122,1.26,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,40.0,2.082,2.9282,33.0184,1026.5689,0.43,0.138,1.16,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,41.0,2.089,2.9302,33.035,1026.5864,0.47,0.122,1.06,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,42.0,2.102,2.9305,33.0255,1026.5826,0.44,0.141,0.99,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,43.0,2.101,2.9308,33.029,1026.5902,0.41,0.137,0.91,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,44.0,2.106,2.9313,33.0299,1026.5953,0.42,0.122,0.84,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,45.0,2.109,2.932,33.0349,1026.6038,0.37,0.132,0.78,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,46.0,2.113,2.9325,33.036,1026.6091,0.37,0.177,0.73,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,47.0,2.117,2.9326,33.0321,1026.6105,0.40,0.133,0.67,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,48.0,2.120,2.9336,33.0413,1026.6224,0.39,0.12,0.62,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,49.0,2.132,2.9351,33.0465,1026.6304,0.42,0.127,0.58,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,50.0,2.145,2.9354,33.0373,1026.6268,0.42,0.132,0.53,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,51.0,2.146,2.9361,33.0438,1026.6367,0.39,0.126,0.49,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,52.0,2.151,2.9363,33.0404,1026.6383,0.38,0.131,0.45,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,53.0,2.152,2.9371,33.0483,1026.6493,0.36,0.152,0.41,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,54.0,2.160,2.9381,33.0513,1026.6559,0.40,0.148,0.38,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,55.0,2.165,2.9387,33.0543,1026.6627,0.43,0.154,0.35,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,56.0,2.170,2.9395,33.0582,1026.6702,0.35,0.132,0.32,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,57.0,2.193,2.942,33.0651,1026.6786,0.36,0.111,0.3,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,58.0,2.201,2.9435,33.0746,1026.6903,0.35,0.123,0.28,Seabird SBE19plus
