gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
1,600,-812300,-44.9516368316263,82.5157901128338,8,77,NO,Jungersen Gletsjer,JUNGERSEN_HENSON_NARAVANA,13,101,45395
3,15700,-838380,-43.9273771552662,82.2753732872054,9,77,NO,Jungersen Gletsjer,JUNGERSEN_HENSON_NARAVANA,13,100,25459
4,182566,-871500,-33.1664045310076,81.7977770372143,13,55,NO,Marie Sophie Gletsjer,MARIE_SOPHIE_GLETSCHER,13,103,4007
5,274094,-889973,-27.8715952376627,81.4233277754821,36,216,NO,Hagen Br,HAGEN_BRAE,13,105,2815
6,-3633,-888366,-45.2397516308497,81.817085178817,19,215,NO,Harder Gletsjer,BRIKKERNE_GLETSCHER,12,99,4720
7,200376,-890300,-32.3141338689486,81.5942648647375,41,56,NO,Academy GGletsjer,ACADEMY,13,104,3015
8,3500,-906820,-44.779684118146,81.6462001698903,20,109,NO,C.H. Ostenfeld Gletsjer,HARDER_GLETSCHER,12,98,9333
10,-82272,-914154,-50.1486230226893,81.5461272739147,36,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,9364
11,-523,-917311,-45.0321743923181,81.5507218013668,31,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,5449
12,-146527,-917700,-54.0761870232822,81.4402512256292,16,146,NO,Steensby Gletsjer,STEENSBY_GLETSCHER,12,95,7539
17,-7440,-919300,-45.4686267607185,81.5320693635843,16,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,7499
19,-12000,-919700,-45.7426643005859,81.5279681574037,12,84,NO,C.H. Ostenfeld Gletsjer,OSTENFELD_GLETSCHER,12,98,10819
22,-88100,-920900,-50.4687788090036,81.4790056729699,3,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,3601
23,-89142,-922100,-50.5233024166313,81.4671548035057,8,53,NO,Ryder Gletsjer,RYDER_GLETSCHER,12,96,4038
25,-258700,-961900,-60.0620607211163,80.8272332787433,22,224,NO,Sigurd Berg Gletsjer,PETERMANN_GLETSCHER_N,11,93,34222
26,-253500,-980063,-59.5098649119788,80.6779280380012,25,224,NO,Porsild Gletsjer,PETERMANN_GLETSCHER_N,11,93,52696
27,-261906,-996844,-59.7279988861503,80.509341029798,110,223,NO,Petermann Gletsjer,PETERMANN_GLETSCHER,11,93,65873
28,-368612,-1061898,-64.156706618947,79.6533908677573,217,50,NO,Sermersuaq,HUMBOLDT_GLETSCHER,11,92,4171
29,439081,-1073449,-22.7447793322077,79.3260198350169,135,58,NE,Zachariae Isstrm,NIOGHALVFJERDSFJORDEN,21,211,56255
30,-388800,-1083025,-64.7511898747434,79.409272644073,24,50,NO,Sermersuaq,HUMBOLDT_GLETSCHER,11,92,33104
31,488293,-1100011,-21.0558999176567,78.9253183084137,98,59,NE,Zachariae Isstrm,ZACHARIAE_ISSTROM,21,107,5425
32,-585550,-1166200,-71.6677071423397,77.9978077838293,3,174,NW,Arfalluarfiup Sermia,DIEBITSCH,82,88,5727
33,-581500,-1171300,-71.4126696787076,77.9732653295614,5,174,NW,Arfalluarfiup Sermia,DIEBITSCH,82,88,5390
34,-575200,-1181000,-70.9723569316245,77.9187285064479,8,172,NW,Neqip Sermia,MORRIS_JESUP,82,87,4567
35,-533333,-1222900,-68.5707140495195,77.7319619245095,10,164,NW,Kangerluarsuup Sermia,BOWDOIN,82,85,5352
36,-489050,-1236600,-66.5864934343575,77.7705603945846,15,104,NW,Toornaarsulissuup Sermii,MELVILLE_GLETSCHER,82,82,10503
37,-497600,-1236300,-66.9287577403599,77.7455197762242,6,105,NW,Toornaarsulissuup Sermii,SHARP,82,83,7887
38,-481612,-1242200,-66.2018619174383,77.7475888628919,9,103,NW,Tuttulipaluup Sermia,FARQUHAR_GLETSCHER,82,82,4768
39,-477500,-1254642,-65.8431984153134,77.6556434153873,22,48,NW,Qeqertaarsuusarsuup Sermia,TRACY_GLETSCHER,82,81,5037
40,-481863,-1268845,-65.803451822727,77.5201824924943,29,47,NW,Qaqujaarsuup Sermia,HEILPRIN_GLETSCHER,82,80,5271
46,-561123,-1349100,-67.5903439377997,76.5733605942571,23,49,NW,Ullip Sermia,HARALD_MOLTKE_BRAE,82,75,4847
47,-555500,-1375900,-66.9929213026874,76.3667842357621,3,240,NW,Ullip Sermia,SAVISSUAQ_WW,82,71,6402
48,-549800,-1379000,-66.7390411263262,76.359406000037,9,240,NW,Ullip Sermia,SAVISSUAQ_WW,82,71,4927
49,-578500,-1384025,-67.6903612116631,76.2180898121188,21,183,NW,Ullip Sermia,SAVISSUAQ_WWWW,82,73,6080
50,-533500,-1387700,-66.0361270133016,76.3402685128697,7,239,NW,Savissuup Sermia,SAVISSUAQ_W,82,70,11876
51,-532300,-1387500,-65.9957018477645,76.3458883267863,5,239,NW,Savissuup Sermia,SAVISSUAQ_W,82,70,10840
52,-517300,-1389611,-65.4239640251269,76.3754547239053,18,185,NW,Savissuup Sermia,SAVISSUAQ,82,70,5562
53,-491250,-1395200,-64.4041732981397,76.4081527195277,15,195,NW,Yngvar Nielsen Gletsjer,YNGVAR_NIELSEN_BRAE_W,82,66,4625
54,-486961,-1396976,-64.2227922129015,76.4076521409001,20,197,NW,Yngvar Nielsen Gletsjer,YNGVAR_NIELSEN_BRAE,82,66,5232
55,-467280,-1397700,-63.4928013521238,76.4584613250197,16,45,NW,Innaqqissorsuup Oqquani Sermeq,CARLOS,82,63,4209
57,-474900,-1399900,-63.7451826082644,76.4173650843191,3,45,NW,Yngvar Nielsen Gletsjer,CARLOS,82,64,5054
58,-500025,-1400600,-64.6548721387052,76.3350006279111,7,196,NW,Helland Gletsjer,HELLAND,82,67,5119
59,-451600,-1410612,-62.7534169348989,76.3906708169797,31,147,NW,Innaqqissorsuup Oqquani Sermeq,GADE-MORELL,81,62,3676
60,-444188,-1417100,-62.4061033898444,76.3554509620812,12,147,NW,Morell Gletsjer,GADE-MORELL,81,61,6719
61,-435450,-1418000,-62.0775029211062,76.3699671415269,5,148,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER_W,81,60,5630
62,-429969,-1420992,-61.8390855249188,76.3604470702298,20,148,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER_W,81,60,5000
63,-427688,-1428611,-61.6713164686539,76.2981940047265,27,78,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER,81,58,5531
64,-420888,-1431500,-61.3902428464725,76.2913652967977,16,78,NW,Qeqertat Timaanni Sermeq,DOCKER_SMITH_GLETSCHER,81,57,4557
66,-408695,-1436108,-60.8911480405052,76.2820057725359,46,44,NW,Rink Gletsjer,RINK_GLETSCHER,81,56,5042
67,-402821,-1445792,-60.5777241928352,76.2121772123501,56,43,NW,Peary Gletsjer,ISSUUARSUIT_SERMIA,81,55,2458
69,-405300,-1455207,-60.567609687629,76.122109029494,25,43,NW,Peary Gletsjer,ISSUUARSUIT_SERMIA,81,54,7489
71,-406230,-1458200,-60.5735936136336,76.0933552480338,11,43,NW,Issuusarsuit Sermiat,ISSUUARSUIT_SERMIA,81,54,4482
72,-389164,-1459748,-59.930737640131,76.12224666419,41,42,NW,Peary Gletsjer,NONAME_NORTH_OSCAR,81,52,6630
73,-383943,-1470575,-59.6363104759123,76.0392582866257,32,127,NW,Nuussuup Sermia,KONG_OSCAR_GLETSCHER,81,51,3937
77,-378700,-1473300,-59.4200936665654,76.0264576326122,5,127,NW,Nuussuup Sermia,KONG_OSCAR_GLETSCHER,81,50,5755
78,-376500,-1477766,-59.2988257680282,75.9926238075905,5,41,NW,Nuussuup Sermia,NORDENSKIOLD_GLESCHER_NW,81,50,5398
79,-370316,-1492750,-58.9368593250014,75.8739929114657,113,41,NW,Nordenskild Gletsjer,NORDENSKIOLD_GLESCHER_NW,81,48,5238
89,-357866,-1506200,-58.3700740734816,75.7803711748365,16,37,NW,nansen Gletsjer,NANSEN_GLETSCHER,81,47,14836
90,-354233,-1514033,-58.1745001644173,75.7188237074981,8,36,NW,Sverdrup Gletsjer,SVERDRUP_GLETSCHER,81,46,13834
91,-352450,-1524554,-58.0234734937416,75.630396130384,34,36,NW,Sverdrup Gletsjer,SVERDRUP_GLETSCHER,81,46,4938
92,-350757,-1539728,-57.8354922853423,75.4993345740228,21,38,NW,Dietrichson Gletsjer,STEENSTRUP-DIETRICHSON,81,45,6795
93,-352769,-1547346,-57.8449320285913,75.4279229638635,20,38,NW,Dietrichson Gletsjer,STEENSTRUP-DIETRICHSON,81,45,6374
94,-355073,-1557938,-57.8443238579526,75.329127437572,42,38,NW,Sermersuaq,STEENSTRUP-DIETRICHSON,81,44,4812
95,-350300,-1581445,-57.4930959788013,75.1294500906339,32,35,NW,Kjer Gletsjer,KJER_GLETSCHER,81,42,8199
96,-353466,-1587255,-57.5589764783354,75.071708109398,12,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,3408
99,-351200,-1589200,-57.4611761897462,75.0586929768766,4,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,2762
100,-349500,-1590809,-57.3940572838477,75.0476266565733,14,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,4046
102,-346600,-1593966,-57.2684800654453,75.026823449066,19,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,41,7689
103,-335978,-1605325,-56.821867300056,74.9456491043061,100,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,39,4389
104,-327860,-1620980,-56.4397313666486,74.8215444712051,24,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,37,3990
111,-322900,-1626653,-56.2306215681042,74.7788351882105,18,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,8664
112,-322200,-1635666,-56.1433805801946,74.7000981798609,10,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,5255
113,-316594,-1640300,-55.9243857206715,74.6688447344571,42,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,7064
114,623205,-1645800,-24.2540000169685,73.8580953854226,26,139,NE,Waltershausen Gletsjer,WALTERSHAUSEN,31,112,1467
115,-317277,-1650033,-55.8878229522085,74.5801406747808,40,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,6475
116,569233,-1652766,-25.9888640644288,73.9665020393966,14,138,NE,Nunatakgletsjer,ADOLF_HOEL,31,113,4977
117,-321780,-1666780,-55.9278230933311,74.4247023634979,39,32,NW,Illullip Sermia,ILLULLIP_SERMIA,81,34,4009
118,-324481,-1685500,-55.9006016197838,74.2524768431505,36,31,NW,Ikissuup Sermersua,CORNELL_GLETSCHER,81,32,4735
119,-327644,-1692233,-55.9623127053786,74.1864404104469,13,31,NW,Ikissuup Sermersua,CORNELL_GLETSCHER,81,32,6610
120,547100,-1708400,-27.2402244334762,73.5503052741956,20,140,NE,Gerard de Geer Gletsjer,GERARD_DE_GEER,31,114,4351
122,-323823,-1713530,-55.7071998548875,74.004179317513,18,30,NW,Sermeq Avanarleq,USSING_BRAEER_N,81,31,6502
123,-320900,-1718245,-55.5813141538993,73.9664517356776,25,30,NW,Sermeq Avanarleq,USSING_BRAEER_N,81,31,4041
124,539300,-1721500,-27.6021928893346,73.4594509868969,10,141,NE,Jttegletsjer,JAETTEGLETSCHER,31,115,4814
125,-318484,-1731546,-55.425603277228,73.8528245132116,32,29,NW,Sermeq Kujalleq,USSING_BRAEER,81,30,5555
126,-321283,-1735600,-55.4903284131233,73.8108076597632,9,29,NW,Sermeq Kujalleq,USSING_BRAEER,81,30,4213
127,-323600,-1756533,-55.4382057832982,73.6219578047107,22,28,NW,Qeqertarsuup Sermia,QEQERTARSUUP_SERMIA,81,29,4658
128,541000,-1758000,-27.8896753806419,73.138408143091,9,142,NE,Nordenskild Gletsjer,NORDENSKIOLD_NE,31,116,4827
129,-317288,-1771911,-55.1552448279795,73.4948240004816,49,27,NW,Kakiffaat Sermiat,KAKIVFAAT_SERMIAT,81,27,5657
130,-311500,-1781820,-54.9185068489516,73.4148530919675,6,27,NW,Kakiffaat Sermiat,KAKIVFAAT_SERMIAT,81,26,5648
131,560300,-1787100,-27.5892966059818,72.8365677290591,7,144,NE,Hisinger Gletsjer,HISINGER_GLETSCHER,31,117,4801
132,-318000,-1796875,-55.0353404026729,73.2711578741504,30,26,NW,Naajarsuit Sermiat,NUNATAKASSAAP_SERMIA,81,25,5044
133,-306111,-1820344,-54.547973347718,73.0807546370404,30,86,NW,Akullikassaap Sermia,UPERNAVIK_ISSTROM_N,81,24,8963
134,-296988,-1823723,-54.2490873509793,73.0640071844845,26,86,NW,Akullikassaap Sermia,UPERNAVIK_ISSTROM_N,81,23,4056
135,-295233,-1837788,-54.1311720092708,72.9413793358774,33,207,NW,Sermeq,UPERNAVIK_ISSTROM_C,81,22,6614
136,-296780,-1847540,-54.1258673831286,72.8519241962604,18,208,NW,Sermeq,UPERNAVIK_ISSTROM_S,81,21,6107
137,-297300,-1857614,-54.0946262651798,72.7600647510811,9,25,NW,Sermeq,UPERNAVIK_ISSTROM_SS,81,20,4948
138,544900,-1870700,-28.7574028270509,72.1543112643468,15,203,CE,Daugaard-Jensen Gletsjer,F_GRAAE,31,118,4225
139,538200,-1884450,-29.05556734411,72.0512219575124,8,204,CE,Daugaard-Jensen Gletsjer,CHARCOT,31,119,5862
140,555245,-1899090,-28.6983186134718,71.8822086939689,26,60,CE,Daugaard-Jensen Gletsjer,DAUGAARD-JENSEN,31,120,3441
141,-254570,-1937600,-52.484327978667,72.1010826352491,19,23,NW,Salliarutsip Sermia,INNGIA_ISBRAE,72,19,8319
142,-255470,-1973600,-52.3778323136894,71.7780915143623,19,1,NW,Umiammakku Sermiat,UMIAMMAKKU_ISBRAE,72,18,3975
143,-224044,-1976255,-51.4709638397812,71.7889411069425,39,3,CW,Kangilliup Sermia,RINK_ISBRAE,72,17,6326
144,592600,-1989550,-28.4079807291538,71.0063005049774,12,61,CE,Eielson Gletsjer,EIELSON_HARE_FJORD-ROLIGE,31,239,1317
145,-218757,-2012985,-51.2023394740933,71.4666387140629,24,4,CW,Kangerlussuup Sermia,KANGERLUSSUUP_SERMERSUA,72,16,6357
146,795200,-2030500,-23.607793806902,70.0653243007291,8,156,CE,Rolige Br,GEIKIE3,32,131,4060
