DATE,POINT_1,POINT_2,POINT_3,POINT_4,POINT_5,POINT_6,POINT_7
01/10/2018,3.392944336,1.942504883,1.282775879,0.990966797,0.757995605,0.59185791,0.407348633
01/01/2019,3.13293457,3.127380371,3.497070313,3.803833008,3.969848633,4.065612793,3.821960449
02/04/2019,-7.387939453,-6.189697266,-5.395507813,-5.34979248,-5.753295898,-5.230102539,-4.33380127
02/07/2019,-9.827758789,-9.238098145,-9.767822266,-10.45159912,-10.27362061,-6.656433105,-2.471618652
02/10/2019,1.640686035,0.664916992,-1.160705566,-2.333374023,-2.811279297,-0.628417969,1.869140625
01/01/2020,-1.114624023,-1.636535645,-2.704711914,-1.15246582,0.719604492,2.57019043,1.741027832
01/04/2020,-4.16394043,-5.873718262,-9.101135254,-9.727478027,-9.020446777,-6.725219727,-4.6640625
02/07/2020,-6.281066895,-8.232116699,-11.70587158,-12.67529297,-12.11401367,-9.144592285,-5.309082031
01/10/2020,-5.292358398,-6.188232422,-10.33422852,-14.0994873,-14.04962158,-10.71038818,-5.819152832
31/12/2020,-1.280090332,-2.632385254,-6.28894043,-9.208007813,-7.897949219,-5.984313965,-4.528564453
02/04/2021,-4.385803223,-5.791442871,-9.006347656,-11.74163818,-10.56506348,-9.928344727,-9.728027344
02/07/2021,-8.851806641,-11.28253174,-14.93701172,-18.85095215,-18.71679688,-17.35681152,-14.78045654
01/10/2021,-1.95880127,-3.59375,-6.127319336,-8.038146973,-7.252807617,-6.204711914,-6.032836914
01/01/2022,-0.244934082,0.173217773,0.675109863,3.327087402,4.663574219,3.143066406,-0.919921875
02/04/2022,-2.766967773,-2.056213379,-0.050476074,3.890441895,3.422485352,1.288085938,-1.610778809
02/07/2022,-7.290466309,-7.032165527,-5.403259277,-1.219177246,-0.346984863,-0.241577148,-1.069152832
01/10/2022,1.39855957,1.342956543,1.801391602,3.598388672,3.722412109,3.879333496,3.59564209
01/01/2023,0.061950684,-0.231079102,-0.596740723,-0.933105469,-1.276000977,-1.307800293,-1.03692627
