Distance,BedMachineGreenland-v5_error,BedMachineGreenland-v5_bed
0,2,-706.50415
150,2,-706.74896
300,2,-716.29993
450,2,-740.24994
600,2,-754.26941
750,2,-773.6615
900,2,-775.60339
1050,15,-777.72534
1200,11,-776.30841
1350,11,-778.3894
1500,10,-781.03601
1650,23,-790.86591
1800,33,-792.33472
1950,38,-803.71606
2100,34,-817.4552
2250,27,-817.89905
2400,27,-846.46771
2550,2,-829.77142
2700,27,-871.96112
2850,55,-870.45239
3000,45,-878.77905
3150,32,-885.99469
3300,26,-862.46954
3450,20,-842.37195
3600,11,-849.78442
3750,20,-845.07397
3900,16,-854.34576
4050,52,-860.59387
4200,67,-863.9729
4350,57,-871.63428
4500,64,-856.13989
4650,64,-856.13989
4800,73,-847.77222
4950,100,-842.1936
5100,100,-851.37103
5250,100,-837.24072
5400,99,-847.13501
5550,97,-856.97711
5700,91,-865.82813
5850,91,-888.7511
6000,87,-883.61951
6150,88,-896.75281
6300,89,-921.86682
6450,92,-934.99841
6600,97,-930.16211
6750,84,-951.55408
6900,68,-975.23102
7050,69,-987.63971
7200,69,-987.63971
7350,69,-996.7439
7500,65,-999.91864
7650,65,-999.91864
7800,70,-1004.74957
7950,72,-1008.21204
8100,75,-1018.37524
8250,75,-1018.37524
8400,78,-1029.43677
8550,78,-1033.58008
8700,83,-1010.76147
8850,78,-1037.67822
9000,82,-1013.80737
9150,86,-1017.98914
9300,92,-1029.42102
9450,95,-1006.38995
9600,91,-1043.18701
9750,96,-1016.8493
9900,95,-1027.88892
10050,89,-1046.04712
10200,89,-1046.04712
10350,84,-1071.19556
10500,77,-1098.26611
10650,75,-1064.13965
10800,52,-1081.92603
10950,52,-1081.92603
11100,36,-1102.37256
11250,49,-1126.8999
11400,67,-1095.29492
11550,71,-1149.11108
11700,90,-1167.52942
11850,85,-1136.13599
12000,81,-1145.9989
12150,79,-1194.55835
12300,71,-1185.96069
12450,66,-1136.66858
12600,65,-1187.46082
12750,64,-1205.10181
12900,69,-1247.00378
13050,58,-1264.0697
13200,61,-1296.41101
13350,69,-1314.50769
13500,62,-1315.79578
13650,66,-1319.25305
13800,68,-1295.05566
13950,68,-1257.03259
14100,67,-1232.07056
14250,69,-1218.29822
14400,69,-1218.40186
14550,74,-1188.32739
14700,74,-1188.32739
14850,70,-1184.65662
15000,65,-1180.20959
15150,76,-1193.91821
15300,72,-1210.08496
15450,81,-1228.00671
15600,79,-1247.3313
15750,78,-1266.77271
