ITS_LIVE_filename,ITS_LIVE_start_date,ITS_LIVE_end_date,TP_source_date,ITS_LIVE_pair_separation,melange_terminus_distance,flagged
2018-01-01_2018-01-07_S1B_S1A,01/01/2018,07/01/2018,05/01/2018,6,22562.149,
2018-02-01_2018-02-07_S1B_S1A,01/02/2018,07/02/2018,04/02/2018,6,21508.894,
2018-03-02_2018-03-08_S1B_S1A,02/03/2018,08/03/2018,06/03/2018,6,20832.193,
2018-04-02_2018-04-08_S1B_S1A,02/04/2018,08/04/2018,05/04/2018,6,19864.203,
2018-05-01_2018-05-07_S1B_S1A,01/05/2018,07/05/2018,05/05/2018,6,16290.297,
2018-06-01_2018-06-07_S1B_S1A,01/06/2018,07/06/2018,04/06/2018,6,0,
2018-07-07_2018-07-13_S1B_S1A,07/07/2018,13/07/2018,10/07/2018,6,0,
2018-07-31_2018-08-06_S1B_S1A,31/07/2018,06/08/2018,03/08/2018,6,3060.986,
2018-08-29_2018-09-04_S1B_S1A,29/08/2018,04/09/2018,02/09/2018,6,16020.39,
2018-09-29_2018-10-05_S1B_S1A,29/09/2018,05/10/2018,02/10/2018,6,26040.537,
2018-10-28_2018-11-03_S1B_S1A,28/10/2018,03/11/2018,01/11/2018,6,23625.232,
2018-11-28_2018-12-04_S1B_S1A,28/11/2018,04/12/2018,01/12/2018,6,23697.97,
2019-01-08_2019-01-14_S1B_S1A,08/01/2019,14/01/2019,12/01/2019,6,23003.819,
2019-02-01_2019-02-07_S1B_S1A,01/02/2019,07/02/2019,05/02/2019,6,22957.297,
2019-02-25_2019-03-03_S1B_S1A,25/02/2019,03/03/2019,01/03/2019,6,22813.342,
2019-04-02_2019-04-08_S1B_S1A,02/04/2019,08/04/2019,06/04/2019,6,18977.762,
2019-05-03_2019-05-09_S1B_S1A,03/05/2019,09/05/2019,06/05/2019,6,0,
2019-06-08_2019-06-14_S1B_S1A,08/06/2019,14/06/2019,11/06/2019,6,0,
2019-07-02_2019-07-08_S1B_S1A,02/07/2019,08/07/2019,05/07/2019,6,0,
