YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1991,-19.00,999.90,-12.62,-12.22,-3.04,5.34,8.98,6.08,2.40,-2.66,-9.78,-9.54,999.90,-9.29,6.80,-3.35,-4.85
1992,-12.33,-26.04,-22.56,-11.07,-4.71,2.30,6.79,5.59,2.03,0.35,-10.04,-12.72,-15.97,-12.78,4.89,-2.55,-6.60
1993,-20.94,-20.20,-25.73,-11.38,999.90,999.90,8.77,6.44,4.93,0.17,-10.16,-14.67,-17.95,-14.79,7.13,-1.69,-6.83
1994,-17.89,-15.92,-22.48,-8.64,2.08,4.40,7.94,7.22,1.12,-4.71,-7.36,-13.99,-16.16,-9.68,6.52,-3.65,-5.74
1995,-22.70,-22.18,-22.70,-5.50,2.68,8.35,9.50,7.06,5.26,-4.21,-1.63,-9.27,-19.62,-8.51,8.30,-0.19,-5.01
1996,-11.45,-12.87,-13.45,-7.37,1.70,4.73,6.87,5.25,1.98,-3.99,-7.56,-6.52,-11.20,-6.37,5.62,-3.19,-3.79
1997,-8.32,-18.76,-16.07,-10.42,0.97,9.04,6.15,5.72,2.32,-2.19,-5.74,-6.13,-11.20,-8.51,6.97,-1.87,-3.65
1998,-8.46,-19.23,-15.52,-3.75,1.08,7.04,9.25,7.36,3.45,-3.12,-6.10,-5.45,-11.27,-6.06,7.88,-1.92,-2.84
1999,-13.08,-18.38,-15.94,-5.37,-4.36,4.16,9.45,7.52,1.69,-3.51,-8.99,-8.81,-12.30,-8.56,7.04,-3.60,-4.36
2000,-11.52,-13.82,-14.42,999.90,-0.74,7.48,8.36,7.50,4.78,-4.05,-4.94,-9.03,-11.38,-7.72,7.78,-1.40,-3.18
2001,-14.16,-16.70,-12.73,-6.14,-0.77,6.59,9.36,9.33,3.95,-2.20,-7.12,-8.87,-13.30,-6.55,8.43,-1.79,-3.30
2002,-8.72,-19.75,-17.40,-10.89,2.92,6.52,7.78,5.43,5.17,-2.22,-5.13,-6.29,-12.45,-8.46,6.58,-0.73,-3.76
2003,-6.76,-14.11,-8.32,-5.74,1.76,8.43,8.58,8.09,4.30,0.99,-7.78,-7.51,-9.05,-4.10,8.37,-0.83,-1.40
2004,-11.77,-11.36,-15.60,-7.06,2.83,6.30,7.20,7.53,3.01,-0.10,-4.85,-13.11,-10.21,-6.61,7.01,-0.65,-2.62
2005,-12.62,-7.84,-4.39,-5.51,0.62,8.70,9.45,999.90,999.90,-3.58,-3.69,-8.66,-11.19,-3.09,8.88,-1.06,-1.62
2006,-15.81,-10.66,-8.39,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-9.62,-10.44,-11.71,999.90,999.90,999.90,999.90
2007,-9.56,-5.65,-11.30,-8.76,0.28,6.95,10.06,8.20,2.05,-4.17,-6.44,-10.27,-8.55,-6.59,8.40,-2.85,-2.40
2008,-15.86,-17.29,-12.70,-5.18,2.32,7.25,9.50,7.25,2.24,-3.50,-7.41,-8.93,-14.47,-5.19,8.00,-2.89,-3.64
2009,-8.29,-9.73,-17.00,-8.08,0.79,6.47,9.14,7.71,1.80,-3.56,-10.90,-6.17,-8.98,-8.10,7.77,-4.22,-3.38
2010,-7.70,-5.85,-9.19,-4.33,4.18,7.90,9.08,8.85,5.79,-0.76,-2.39,-3.45,-6.57,-3.11,8.61,0.88,-0.05
2011,-8.60,-10.35,-13.36,-13.84,-0.74,6.00,10.47,6.95,2.17,-4.94,-8.56,-11.54,-7.47,-9.31,7.81,-3.78,-3.19
2012,-13.17,-13.69,-17.07,-5.61,1.72,7.93,9.67,7.57,4.10,-0.92,-7.26,-9.27,-12.80,-6.99,8.39,-1.36,-3.19
2013,-9.72,-12.82,-8.94,-4.55,-3.00,6.94,8.00,5.85,2.96,-3.20,-8.42,-11.39,-10.60,-5.50,6.93,-2.89,-3.01
2014,-7.82,-10.46,-12.66,-9.26,-1.34,7.72,9.00,7.24,3.00,-3.46,-5.61,-11.10,-9.89,-7.75,7.99,-2.02,-2.92
2015,-16.46,-20.31,-15.63,-10.63,-0.96,5.17,9.49,6.16,1.69,-4.57,-10.64,-14.38,-15.96,-9.07,6.94,-4.51,-5.65
2016,-9.05,-10.00,-7.58,-0.13,2.22,6.34,9.80,6.52,1.35,-2.88,-6.50,-11.83,-11.14,-1.83,7.55,-2.68,-2.02
2017,-12.75,-16.28,-14.15,-9.70,1.36,4.96,8.72,6.39,2.49,-1.17,-7.24,999.90,-13.62,-7.50,6.69,-1.97,-4.10
2018,-13.38,-18.26,-13.46,-6.73,-2.05,4.36,6.09,6.74,2.11,-5.50,-8.04,-8.70,-14.45,-7.41,5.73,-3.81,-4.99
2019,-13.25,-11.09,-12.24,-2.53,4.96,7.37,10.15,7.10,3.74,-1.08,-2.34,-11.54,-11.01,-3.27,8.21,0.11,-1.49
2020,-14.95,-16.21,-14.23,-3.44,1.73,4.64,8.70,6.09,0.76,-0.64,-6.94,-5.69,-14.23,-5.31,6.48,-2.27,-3.84
