lon,lat,date,depth,temperature,salinity
-50.24107,69.18225,29/08/2019,0.72,3.3,3.35
-50.24107,69.18225,29/08/2019,0.8304,3.29,3.35
-50.24107,69.18225,29/08/2019,0.9409,3.14,3.38
-50.24107,69.18225,29/08/2019,1.0513,2.57,3.4
-50.24107,69.18225,29/08/2019,1.1618,2.01,3.38
-50.24107,69.18225,29/08/2019,1.2722,1.57,3.37
-50.24107,69.18225,29/08/2019,1.3827,1.26,3.38
-50.24107,69.18225,29/08/2019,1.4931,1.04,3.42
-50.24107,69.18225,29/08/2019,1.6036,0.92,3.42
-50.24107,69.18225,29/08/2019,1.714,0.82,3.43
-50.24107,69.18225,29/08/2019,1.8245,0.59,3.51
-50.24107,69.18225,29/08/2019,1.9349,0.39,3.54
-50.24107,69.18225,29/08/2019,2.0453,0.27,3.63
-50.24107,69.18225,29/08/2019,2.1558,0.2,3.68
-50.24107,69.18225,29/08/2019,2.2662,0.18,3.75
-50.24107,69.18225,29/08/2019,2.3767,0.16,3.81
-50.24107,69.18225,29/08/2019,2.4871,0.15,3.84
-50.24107,69.18225,29/08/2019,2.5975,0.13,3.93
-50.24107,69.18225,29/08/2019,2.708,,
-50.24107,69.18225,29/08/2019,2.8184,,
-50.24107,69.18225,29/08/2019,2.9288,,
-50.24107,69.18225,29/08/2019,3.0393,,
-50.24107,69.18225,29/08/2019,3.1497,,
-50.24107,69.18225,29/08/2019,3.2601,,
-50.24107,69.18225,29/08/2019,3.3706,,
-50.24107,69.18225,29/08/2019,3.481,,
-50.24107,69.18225,29/08/2019,3.5914,,
-50.24107,69.18225,29/08/2019,3.7019,,
-50.24107,69.18225,29/08/2019,3.8123,-0.03,4.73
-50.24107,69.18225,29/08/2019,3.9227,-0.04,4.85
-50.24107,69.18225,29/08/2019,4.0331,-0.06,4.96
-50.24107,69.18225,29/08/2019,4.1436,-0.08,5.05
-50.24107,69.18225,29/08/2019,4.254,-0.1,5.1
-50.24107,69.18225,29/08/2019,4.3644,-0.12,5.17
-50.24107,69.18225,29/08/2019,4.4748,-0.15,5.23
-50.24107,69.18225,29/08/2019,4.5853,-0.15,5.3
-50.24107,69.18225,29/08/2019,4.6957,-0.17,5.39
-50.24107,69.18225,29/08/2019,4.8061,-0.18,5.46
-50.24107,69.18225,29/08/2019,4.9165,-0.19,5.53
-50.24107,69.18225,29/08/2019,5.0269,-0.19,5.6
-50.24107,69.18225,29/08/2019,5.1374,-0.19,5.67
-50.24107,69.18225,29/08/2019,5.2478,-0.2,5.74
-50.24107,69.18225,29/08/2019,5.3582,-0.21,5.8
-50.24107,69.18225,29/08/2019,5.4686,-0.23,5.87
-50.24107,69.18225,29/08/2019,5.579,-0.26,5.96
-50.24107,69.18225,29/08/2019,5.6895,-0.27,6.09
-50.24107,69.18225,29/08/2019,5.7999,-0.29,6.23
-50.24107,69.18225,29/08/2019,5.9103,-0.29,6.37
-50.24107,69.18225,29/08/2019,6.0207,-0.28,6.5
-50.24107,69.18225,29/08/2019,6.1311,-0.28,6.62
-50.24107,69.18225,29/08/2019,6.2415,-0.27,6.7
-50.24107,69.18225,29/08/2019,6.3519,-0.28,6.76
-50.24107,69.18225,29/08/2019,6.4623,-0.28,7.06
-50.24107,69.18225,29/08/2019,6.5727,-0.29,7.26
-50.24107,69.18225,29/08/2019,6.6832,-0.31,7.6
-50.24107,69.18225,29/08/2019,6.7936,-0.34,7.86
-50.24107,69.18225,29/08/2019,6.904,,
-50.24107,69.18225,29/08/2019,7.0144,,
-50.24107,69.18225,29/08/2019,7.1248,,
-50.24107,69.18225,29/08/2019,7.2352,,
-50.24107,69.18225,29/08/2019,7.3456,,
-50.24107,69.18225,29/08/2019,7.456,,
-50.24107,69.18225,29/08/2019,7.5664,,
-50.24107,69.18225,29/08/2019,7.6768,,
-50.24107,69.18225,29/08/2019,7.7872,,
-50.24107,69.18225,29/08/2019,7.8976,,
-50.24107,69.18225,29/08/2019,8.008,-0.64,13.17
-50.24107,69.18225,29/08/2019,8.1184,-0.7,14.22
-50.24107,69.18225,29/08/2019,8.2288,-0.76,15.47
-50.24107,69.18225,29/08/2019,8.3392,-0.83,16.45
-50.24107,69.18225,29/08/2019,8.4496,-0.89,17.4
-50.24107,69.18225,29/08/2019,8.56,-0.96,18.7
-50.24107,69.18225,29/08/2019,8.6704,-1.02,20.14
-50.24107,69.18225,29/08/2019,8.7808,-1.07,21.08
-50.24107,69.18225,29/08/2019,8.8912,-1.13,21.82
-50.24107,69.18225,29/08/2019,9.0016,-1.16,22.2
-50.24107,69.18225,29/08/2019,9.112,-1.19,22.59
-50.24107,69.18225,29/08/2019,9.2223,-1.2,22.84
-50.24107,69.18225,29/08/2019,9.3327,-1.21,22.95
-50.24107,69.18225,29/08/2019,9.4431,-1.24,23.07
-50.24107,69.18225,29/08/2019,9.5535,-1.24,23.11
-50.24107,69.18225,29/08/2019,9.6639,-1.24,23.15
-50.24107,69.18225,29/08/2019,9.7743,-1.24,23.21
-50.24107,69.18225,29/08/2019,9.8847,-1.24,23.27
-50.24107,69.18225,29/08/2019,9.9951,-1.25,23.3
-50.24107,69.18225,29/08/2019,10.1054,-1.25,23.34
-50.24107,69.18225,29/08/2019,10.2158,-1.25,23.36
-50.24107,69.18225,29/08/2019,10.3262,-1.25,23.36
-50.24107,69.18225,29/08/2019,10.4366,-1.25,23.42
-50.24107,69.18225,29/08/2019,10.547,-1.25,23.48
-50.24107,69.18225,29/08/2019,10.6574,-1.26,23.49
-50.24107,69.18225,29/08/2019,10.7677,-1.26,23.51
-50.24107,69.18225,29/08/2019,10.8781,-1.25,23.52
-50.24107,69.18225,29/08/2019,10.9885,,
-50.24107,69.18225,29/08/2019,11.0989,,
-50.24107,69.18225,29/08/2019,11.2093,,
-50.24107,69.18225,29/08/2019,11.3196,,
-50.24107,69.18225,29/08/2019,11.43,,
-50.24107,69.18225,29/08/2019,11.5404,,
-50.24107,69.18225,29/08/2019,11.6508,,
-50.24107,69.18225,29/08/2019,11.7611,,
-50.24107,69.18225,29/08/2019,11.8715,,
-50.24107,69.18225,29/08/2019,11.9819,,
