lat,lon,depth,sal,temp,p,c,td
69.20019444,-49.79725,0.5,21.22172453,-0.954285714,NaN,17.86142857,737649.559
,,1.5,21.9590927,-1.131428571,NaN,18.33428571,
,,2.5,22.10726038,-1.148571429,NaN,18.43857143,
,,3.5,22.17409055,-1.14,NaN,18.495,
,,4.5,22.20761277,-1.134285714,NaN,18.52428571,
,,5.5,22.23305314,-1.121428571,NaN,18.55142857,
,,6.5,22.26322076,-1.12125,NaN,18.575,
,,7.5,22.28726148,-1.132857143,NaN,18.58714286,
,,8.5,22.30708621,-1.14,NaN,18.59857143,
,,9.5,22.3264541,-1.14,NaN,18.61375,
,,10.5,22.35281766,-1.14,NaN,18.63428571,
,,11.5,22.39102276,-1.134285714,NaN,18.66714286,
,,12.5,22.43370672,-1.117142857,NaN,18.71,
,,13.5,22.55519956,-1.08625,NaN,18.82125,
,,14.5,22.62698572,-1.055714286,NaN,18.89428571,
,,15.5,22.81240459,-1.008571429,NaN,19.06428571,
,,16.5,22.95627846,-0.97875,NaN,19.1925,
,,17.5,23.17255479,-0.935714286,NaN,19.38428571,
,,18.5,23.47525627,-0.868571429,NaN,19.65714286,
,,19.5,23.98740574,-0.8,NaN,20.0925,
,,20.5,24.4263075,-0.755714286,NaN,20.45714286,
,,21.5,25.64043664,-0.641428571,NaN,21.46142857,
,,22.5,26.36348314,-0.54375,NaN,22.08,
,,23.5,27.0064336,-0.48,NaN,22.61571429,
,,24.5,27.50231911,-0.407142857,NaN,23.04571429,
,,25.5,27.92451624,-0.338571429,NaN,23.41714286,
,,26.5,28.1244033,-0.3075,NaN,23.5925,
,,27.5,28.31893715,-0.3,NaN,23.74714286,
,,28.5,28.49497369,-0.267142857,NaN,23.90571429,
,,29.5,28.63910298,-0.25,NaN,24.02875,
,,30.5,28.82352647,-0.212857143,NaN,24.19714286,
,,31.5,29.04982684,-0.178571429,NaN,24.39571429,
,,32.5,29.23176241,-0.145,NaN,24.56,
,,33.5,29.39431829,-0.112857143,NaN,24.70857143,
,,34.5,29.58061746,-0.09,NaN,24.86857143,
,,35.5,29.82365876,-0.07,NaN,25.07,
,,36.5,30.0853466,-0.055714286,NaN,25.28142857,
,,37.5,30.37394816,-0.021428571,NaN,25.52857143,
,,38.5,30.53787566,-0.0075,NaN,25.665,
,,39.5,30.77494364,0.004285714,NaN,25.85571429,
,,40.5,30.91887786,0.018571429,NaN,25.97714286,
,,41.5,31.07683065,0.045,NaN,26.11875,
,,42.5,31.13990397,0.042857143,NaN,26.16571429,
,,43.5,31.2102092,0.048571429,NaN,26.22428571,
,,44.5,31.35776422,0.0375,NaN,26.32875,
,,45.5,31.41071988,0.014285714,NaN,26.35142857,
,,46.5,31.42795154,0.004285714,NaN,26.35714286,
,,47.5,31.47195718,-0.017142857,NaN,26.37428571,
,,48.5,31.58075637,-0.0125,NaN,26.46125,
,,49.5,31.66589927,-0.017142857,NaN,26.52285714,
,,50.5,31.75968041,0.052857143,NaN,26.65,
,,51.5,31.75982959,0.08375,NaN,26.675,
,,52.5,31.85383918,0.114285714,NaN,26.77142857,
,,53.5,31.99812038,0.201428571,NaN,26.95142857,
,,54.5,32.05310995,0.245,NaN,27.02875,
,,55.5,32.1171807,0.282857143,NaN,27.10857143,
,,56.5,32.17050972,0.347142857,NaN,27.20142857,
,,57.5,32.19396294,0.37375,NaN,27.24125,
,,58.5,32.21344145,0.388571429,NaN,27.26857143,
,,59.5,32.25561189,0.395714286,NaN,27.30714286,
,,60.5,32.27098535,0.4275,NaN,27.345,
,,61.5,32.29657513,0.43,NaN,27.36714286,
,,62.5,32.31185,0.448571429,NaN,27.39428571,
,,63.5,32.34850548,0.47125,NaN,27.44125,
,,64.5,32.38776276,0.497142857,NaN,27.49285714,
,,65.5,32.46593391,0.545714286,NaN,27.59285714,
,,66.5,32.49353228,0.56625,NaN,27.63125,
,,67.5,32.50949541,0.577142857,NaN,27.65285714,
,,68.5,32.51335293,0.58,NaN,27.65857143,
,,69.5,32.52808594,0.58875,NaN,27.6775,
,,70.5,32.54364963,0.602857143,NaN,27.70142857,
,,71.5,32.54826839,0.61,NaN,27.71125,
,,72.5,32.57588208,0.618571429,NaN,27.74,
,,73.5,32.57753578,0.62,NaN,27.74285714,
,,74.5,32.6280309,0.6325,NaN,27.7925,
,,75.5,32.68988218,0.622857143,NaN,27.83285714,
,,76.5,32.75997506,0.624285714,NaN,27.88857143,
,,77.5,32.77961906,0.6375,NaN,27.915,
,,78.5,32.79580962,0.64,NaN,27.93,
,,79.5,32.8082154,0.64,NaN,27.94,
,,80.5,32.81925786,0.64125,NaN,27.95,
,,81.5,32.82537143,0.647142857,NaN,27.96,
,,82.5,32.84432239,0.651428571,NaN,27.97857143,
,,83.5,32.84620026,0.66,NaN,27.9875,
,,84.5,32.84885532,0.66,NaN,27.99,
,,85.5,32.84831383,0.66,NaN,27.99,
,,86.5,32.84773376,0.66,NaN,27.99,
,,87.5,32.84715379,0.66,NaN,27.99,
,,88.5,32.8466126,0.66,NaN,27.99,
,,89.5,32.84603285,0.66,NaN,27.99,
,,90.5,32.84545319,0.66,NaN,27.99,
,,91.5,32.8449123,0.66,NaN,27.99,
,,92.5,32.84433288,0.66,NaN,27.99,
,,93.5,32.84375352,0.66,NaN,27.99,
,,94.5,32.85316948,0.66125,NaN,27.99875,
,,95.5,32.87931791,0.682857143,NaN,28.03714286,
,,96.5,32.88828242,0.7,NaN,28.05857143,
,,97.5,32.89041409,0.70375,NaN,28.06375,
,,98.5,32.90030896,0.717142857,NaN,28.08285714,
,,99.5,32.91285282,0.75,NaN,28.12,
,,100.5,32.92520581,0.77125,NaN,28.1475,
,,101.5,32.94025021,0.794285714,NaN,28.17857143,
,,102.5,32.95152211,0.805714286,NaN,28.19714286,
,,103.5,32.95898397,0.81375,NaN,28.21,
,,104.5,32.95729313,0.82,NaN,28.21428571,
,,105.5,32.99215035,0.83,NaN,28.25,
,,106.5,32.98360443,0.8375,NaN,28.25,
,,107.5,32.98773163,0.84,NaN,28.25571429,
,,108.5,32.99589467,0.84,NaN,28.2625,
,,109.5,32.99545655,0.838571429,NaN,28.26142857,
,,110.5,33.00595773,0.838571429,NaN,28.27,
,,111.5,33.00197119,0.83875,NaN,28.2675,
,,112.5,33.00480409,0.838571429,NaN,28.27,
,,113.5,33.00426585,0.838571429,NaN,28.27,
,,114.5,33.00349949,0.83875,NaN,28.27,
,,115.5,33.00614976,0.835714286,NaN,28.27,
,,116.5,33.00864855,0.832857143,NaN,28.27,
,,117.5,33.01755049,0.83,NaN,28.275,
,,118.5,33.02341557,0.83,NaN,28.28,
,,119.5,33.03474659,0.84,NaN,28.2975,
,,120.5,33.0329146,0.852857143,NaN,28.30714286,
,,121.5,33.02846062,0.86,NaN,28.31,
,,122.5,33.02788484,0.86,NaN,28.31,
,,123.5,33.03162741,0.862857143,NaN,28.31571429,
,,124.5,33.03916373,0.874285714,NaN,28.33142857,
,,125.5,33.03682935,0.87875,NaN,28.33375,
,,126.5,33.03745251,0.88,NaN,28.33571429,
,,127.5,33.03707685,0.885,NaN,28.34,
,,128.5,33.04613098,0.882857143,NaN,28.34571429,
,,129.5,33.04127915,0.88,NaN,28.34,
,,130.5,33.06139438,0.88625,NaN,28.36125,
,,131.5,33.07341695,0.905714286,NaN,28.38714286,
,,132.5,33.08212798,0.914285714,NaN,28.40142857,
,,133.5,33.08649265,0.92,NaN,28.41,
,,134.5,33.0877542,0.92,NaN,28.41142857,
,,135.5,33.09819566,0.92,NaN,28.42,
,,136.5,33.1068585,0.928571429,NaN,28.43428571,
,,137.5,33.11214483,0.93,NaN,28.44,
,,138.5,33.11317669,0.93,NaN,28.44125,
,,139.5,33.10947651,0.931428571,NaN,28.44,
,,140.5,33.11235116,0.938571429,NaN,28.44857143,
,,141.5,33.12979732,0.9475,NaN,28.47,
,,142.5,33.12876126,0.96,NaN,28.48,
,,143.5,33.14587999,0.9675,NaN,28.5,
,,144.5,33.16593418,0.984285714,NaN,28.53,
,,145.5,33.1758438,0.998571429,NaN,28.55,
