Filename,start_date,end_date,mid_date,POINT_1_VELOCITY,POINT_2_VELOCITY,POINT_3_VELOCITY,POINT_4_VELOCITY,POINT_5_VELOCITY,POINT_6_VELOCITY,POINT_7_VELOCITY
2020-03-07_2020-03-19_S1B_S1B_T2.tif,2020-03-07,2020-03-19,2020/03/13,,,,,,,
2019-07-26_2019-08-07_S1B_S1B.tif,2019-07-26,2019-08-07,2019/08/01,,,,,,,
2021-10-28_2021-11-03_S1B_S1A_T2.tif,2021-10-28,2021-11-03,2021/10/31,,,,,,,
2019-10-30_2019-11-05_S1B_S1A.tif,2019-10-30,2019-11-05,2019/11/02,,,,,,,
2020-01-24_2020-01-30_S1B_S1A.tif,2020-01-24,2020-01-30,2020/01/27,,,,,,,
2021-10-10_2021-10-22_S1A_S1A.tif,2021-10-10,2021-10-22,2021/10/16,,,,,3520.0,1990.0,933.0
2018-04-05_2018-04-17_S1A_S1A.tif,2018-04-05,2018-04-17,2018/04/11,,,,,2980.0,1611.0,779.0
2018-10-28_2018-11-03_S1B_S1A.tif,2018-10-28,2018-11-03,2018/10/31,,,4704.0,3457.0,2941.0,1703.0,758.0
2021-08-07_2021-08-19_S1A_S1A.tif,2021-08-07,2021-08-19,2021/08/13,13308.0,,7021.0,4634.0,3791.0,1974.0,948.0
2022-09-19_2022-10-01_S1A_S1A.tif,2022-09-19,2022-10-01,2022/09/25,,,,3849.0,3358.0,1739.0,871.0
2020-08-30_2020-09-11_S1B_S1B.tif,2020-08-30,2020-09-11,2020/09/05,,,,,,,
2020-04-30_2020-05-12_S1A_S1A.tif,2020-04-30,2020-05-12,2020/05/06,7809.0,,,,2871.0,1667.0,865.0
2018-03-18_2018-03-24_S1B_S1A.tif,2018-03-18,2018-03-24,2018/03/21,,,,3520.0,3070.0,1256.0,
2020-09-05_2020-09-17_S1A_S1A.tif,2020-09-05,2020-09-17,2020/09/11,10694.0,,,4036.0,3131.0,1844.0,786.0
2021-10-16_2021-10-22_S1B_S1A_T2.tif,2021-10-16,2021-10-22,2021/10/19,,,,,,,
2018-09-26_2018-10-08_S1B_S1B_T2.tif,2018-09-26,2018-10-08,2018/10/02,,,,,,,
2019-10-03_2019-10-09_S1B_S1A_T2.tif,2019-10-03,2019-10-09,2019/10/06,,,,,,,
2021-05-25_2021-05-31_S1B_S1A_T2.tif,2021-05-25,2021-05-31,2021/05/28,,,,,,,
2020-06-07_2020-06-19_S1B_S1B_T2.tif,2020-06-07,2020-06-19,2020/06/13,,,5347.0,,,1647.0,795.0
2019-05-03_2019-05-15_S1B_S1B_T2.tif,2019-05-03,2019-05-15,2019/05/09,,,4679.0,,,1518.0,757.0
2020-03-31_2020-04-06_S1B_S1A_T2.tif,2020-03-31,2020-04-06,2020/04/03,,,,,,,
2020-09-23_2020-09-29_S1B_S1A_T2.tif,2020-09-23,2020-09-29,2020/09/26,11688.0,,6253.0,,3507.0,1473.0,
2020-03-19_2020-03-25_S1B_S1A.tif,2020-03-19,2020-03-25,2020/03/22,,,,3605.0,2771.0,1706.0,640.0
2018-06-01_2018-06-07_S1B_S1A.tif,2018-06-01,2018-06-07,2018/06/04,7161.0,5896.0,4683.0,3363.0,2897.0,1662.0,904.0
2021-08-20_2021-08-26_S1B_S1A.tif,2021-08-20,2021-08-26,2021/08/23,,,,,,,
2021-06-14_2021-06-20_S1B_S1A_T2.tif,2021-06-14,2021-06-20,2021/06/17,15223.0,,7032.0,,,1760.0,933.0
2021-07-08_2021-07-20_S1B_S1B_T2.tif,2021-07-08,2021-07-20,2021/07/14,,,,,3829.0,2084.0,877.0
2021-03-22_2021-04-03_S1B_S1B.tif,2021-03-22,2021-04-03,2021/03/28,,,,,,,
2020-10-29_2020-11-04_S1B_S1A_T2.tif,2020-10-29,2020-11-04,2020/11/01,11157.0,,6151.0,4085.0,3341.0,1771.0,796.0
2021-07-27_2021-08-02_S1B_S1A_T2.tif,2021-07-27,2021-08-02,2021/07/30,14092.0,10479.0,7410.0,4905.0,4007.0,2119.0,957.0
2020-03-07_2020-03-13_S1B_S1A_T2.tif,2020-03-07,2020-03-13,2020/03/10,,,,,,,
2018-07-12_2018-07-18_S1B_S1A.tif,2018-07-12,2018-07-18,2018/07/15,6817.0,5332.0,4259.0,3052.0,2571.0,1525.0,780.0
2019-04-30_2019-05-06_S1B_S1A.tif,2019-04-30,2019-05-06,2019/05/03,7542.0,5924.0,4570.0,3217.0,2804.0,1560.0,672.0
2020-05-30_2020-06-05_S1B_S1A.tif,2020-05-30,2020-06-05,2020/06/02,,5687.0,,,2978.0,1603.0,839.0
2022-03-06_2022-03-18_S1A_S1A.tif,2022-03-06,2022-03-18,2022/03/12,,,,3764.0,3301.0,1888.0,890.0
2021-03-28_2021-04-09_S1A_S1A.tif,2021-03-28,2021-04-09,2021/04/03,,,,4000.0,3275.0,1702.0,855.0
2021-01-21_2021-01-27_S1B_S1A_T3.tif,2021-01-21,2021-01-27,2021/01/24,,,,,,,
2020-01-19_2020-01-25_S1B_S1A_T2.tif,2020-01-19,2020-01-25,2020/01/22,,,,,,,
2018-05-05_2018-05-17_S1B_S1B.tif,2018-05-05,2018-05-17,2018/05/11,,,,,,1746.0,
2021-04-03_2021-04-15_S1B_S1B.tif,2021-04-03,2021-04-15,2021/04/09,,,,,,,
2021-09-10_2021-09-16_S1B_S1A_T2.tif,2021-09-10,2021-09-16,2021/09/13,,,,,,,
2019-04-15_2019-04-27_S1A_S1A.tif,2019-04-15,2019-04-27,2019/04/21,,,,,2533.0,1465.0,767.0
2021-01-25_2021-01-31_S1B_S1A.tif,2021-01-25,2021-01-31,2021/01/28,,,,4122.0,3404.0,1898.0,
2019-04-18_2019-04-30_S1B_S1B.tif,2019-04-18,2019-04-30,2019/04/24,,,,,,1611.0,747.0
2018-01-01_2018-01-07_S1B_S1A.tif,2018-01-01,2018-01-07,2018/01/04,,,5193.0,3563.0,3040.0,1830.0,852.0
2018-01-20_2018-01-26_S1B_S1A.tif,2018-01-20,2018-01-26,2018/01/23,,,5055.0,3509.0,3173.0,1730.0,723.0
2021-02-14_2021-02-20_S1B_S1A.tif,2021-02-14,2021-02-20,2021/02/17,,,6124.0,4046.0,3217.0,1701.0,787.0
2019-07-29_2019-08-10_S1A_S1A.tif,2019-07-29,2019-08-10,2019/08/04,,,4783.0,3438.0,2909.0,1640.0,753.0
2018-10-04_2018-10-10_S1B_S1A.tif,2018-10-04,2018-10-10,2018/10/07,8590.0,,5174.0,3377.0,2957.0,1740.0,734.0
2021-03-03_2021-03-15_S1B_S1B_T2.tif,2021-03-03,2021-03-15,2021/03/09,,,,,,,
2018-03-24_2018-04-05_S1A_S1A_T2.tif,2018-03-24,2018-04-05,2018/03/30,,,,,,,
2019-06-08_2019-06-14_S1B_S1A.tif,2019-06-08,2019-06-14,2019/06/11,,,,,,,
2020-04-15_2020-04-21_S1B_S1A.tif,2020-04-15,2020-04-21,2020/04/18,,,,,,,
2021-09-12_2021-09-24_S1A_S1A.tif,2021-09-12,2021-09-24,2021/09/18,12326.0,,,4497.0,3855.0,1994.0,
2022-04-20_2022-05-02_S1A_S1A_T2.tif,2022-04-20,2022-05-02,2022/04/26,,,,,,,
2021-11-17_2021-11-23_S1B_S1A.tif,2021-11-17,2021-11-23,2021/11/20,,,,,,,
2021-03-26_2021-04-07_S1B_S1B.tif,2021-03-26,2021-04-07,2021/04/01,,,,,3586.0,1755.0,
2021-10-01_2021-10-13_S1A_S1A.tif,2021-10-01,2021-10-13,2021/10/07,11809.0,,6655.0,4372.0,3776.0,1947.0,908.0
2020-09-06_2020-09-12_S1B_S1A.tif,2020-09-06,2020-09-12,2020/09/09,,,,,,,
2019-01-20_2019-01-26_S1B_S1A.tif,2019-01-20,2019-01-26,2019/01/23,,,4695.0,3317.0,2974.0,1227.0,835.0
2020-03-27_2020-04-02_S1B_S1A_T2.tif,2020-03-27,2020-04-02,2020/03/30,,,,3359.0,3155.0,1496.0,812.0
2021-01-09_2021-01-15_S1B_S1A_T2.tif,2021-01-09,2021-01-15,2021/01/12,11271.0,,6143.0,4075.0,3298.0,1748.0,862.0
2018-10-04_2018-10-16_S1B_S1B.tif,2018-10-04,2018-10-16,2018/10/10,,,5069.0,3313.0,2975.0,1451.0,774.0
2018-02-06_2018-02-12_S1B_S1A_T2.tif,2018-02-06,2018-02-12,2018/02/09,,,,,,,
2018-09-29_2018-10-11_S1B_S1B.tif,2018-09-29,2018-10-11,2018/10/05,,,5050.0,3339.0,2933.0,1529.0,740.0
2019-03-22_2019-04-03_S1A_S1A.tif,2019-03-22,2019-04-03,2019/03/28,,,,3186.0,2624.0,1586.0,747.0
2022-03-23_2022-04-04_S1A_S1A.tif,2022-03-23,2022-04-04,2022/03/29,,,,,3263.0,1757.0,
2021-05-16_2021-05-28_S1B_S1B_T2.tif,2021-05-16,2021-05-28,2021/05/22,,,,,,1754.0,
2018-08-24_2018-08-30_S1B_S1A.tif,2018-08-24,2018-08-30,2018/08/27,9375.0,,4826.0,,2936.0,1638.0,816.0
2019-02-25_2019-03-03_S1B_S1A.tif,2019-02-25,2019-03-03,2019/02/28,,,4719.0,3273.0,2818.0,1393.0,749.0
2020-06-19_2020-06-25_S1B_S1A_T2.tif,2020-06-19,2020-06-25,2020/06/22,10292.0,7783.0,5596.0,3733.0,3148.0,1585.0,786.0
2022-10-13_2022-10-25_S1A_S1A.tif,2022-10-13,2022-10-25,2022/10/19,10571.0,,,3997.0,3339.0,1727.0,880.0
2019-04-06_2019-04-12_S1B_S1A.tif,2019-04-06,2019-04-12,2019/04/09,7159.0,,,,2545.0,1316.0,799.0
2021-07-13_2021-07-25_S1B_S1B.tif,2021-07-13,2021-07-25,2021/07/19,,,,,,,
2019-05-14_2019-05-26_S1A_S1A.tif,2019-05-14,2019-05-26,2019/05/20,8088.0,,,,,1421.0,768.0
2021-01-23_2021-01-29_S1B_S1A_T2.tif,2021-01-23,2021-01-29,2021/01/26,11002.0,,5953.0,4169.0,3453.0,1792.0,858.0
2019-09-17_2019-09-29_S1B_S1B.tif,2019-09-17,2019-09-29,2019/09/23,,,,,,,
2021-08-26_2021-09-07_S1A_S1A.tif,2021-08-26,2021-09-07,2021/09/01,,,6768.0,,3752.0,1947.0,909.0
2022-07-28_2022-08-09_S1A_S1A.tif,2022-07-28,2022-08-09,2022/08/03,,,,3866.0,3380.0,1731.0,897.0
2018-06-22_2018-06-28_S1B_S1A_T2.tif,2018-06-22,2018-06-28,2018/06/25,,,,,,,
2018-02-22_2018-03-06_S1B_S1B_T2.tif,2018-02-22,2018-03-06,2018/02/28,,,,,,,
2020-09-15_2020-09-27_S1B_S1B.tif,2020-09-15,2020-09-27,2020/09/21,10887.0,,,,3308.0,1664.0,
2018-03-08_2018-03-20_S1A_S1A_T2.tif,2018-03-08,2018-03-20,2018/03/14,,,,,,,
2021-02-02_2021-02-08_S1B_S1A_T3.tif,2021-02-02,2021-02-08,2021/02/05,,,,,,,
2020-09-11_2020-09-23_S1B_S1B.tif,2020-09-11,2020-09-23,2020/09/17,,,,,,,
2020-11-02_2020-11-08_S1B_S1A_T2.tif,2020-11-02,2020-11-08,2020/11/05,,,,,,,
2018-12-15_2018-12-21_S1B_S1A.tif,2018-12-15,2018-12-21,2018/12/18,,,4537.0,3259.0,2958.0,1540.0,748.0
2018-02-16_2018-02-28_S1A_S1A_T2.tif,2018-02-16,2018-02-28,2018/02/22,,,,,,,
2020-03-08_2020-03-20_S1B_S1B_T2.tif,2020-03-08,2020-03-20,2020/03/14,,,,,,,
2022-08-18_2022-08-30_S1A_S1A.tif,2022-08-18,2022-08-30,2022/08/24,,,,3922.0,3308.0,1792.0,
2018-07-16_2018-07-28_S1B_S1B_T2.tif,2018-07-16,2018-07-28,2018/07/22,,,,,,,
2021-06-02_2021-06-08_S1B_S1A_T2.tif,2021-06-02,2021-06-08,2021/06/05,,,6798.0,4516.0,,1837.0,
2018-06-06_2018-06-12_S1B_S1A.tif,2018-06-06,2018-06-12,2018/06/09,7362.0,5950.0,4783.0,3303.0,2885.0,1552.0,771.0
2021-11-29_2021-12-05_S1B_S1A.tif,2021-11-29,2021-12-05,2021/12/02,,,,,,,
2018-05-17_2018-05-29_S1B_S1B.tif,2018-05-17,2018-05-29,2018/05/23,7122.0,,,3377.0,2973.0,1600.0,685.0
2022-11-13_2022-11-25_S1A_S1A.tif,2022-11-13,2022-11-25,2022/11/19,,,,3976.0,3288.0,1823.0,855.0
2022-04-16_2022-04-28_S1A_S1A.tif,2022-04-16,2022-04-28,2022/04/22,,,,3626.0,3171.0,1568.0,846.0
2021-08-14_2021-08-26_S1A_S1A.tif,2021-08-14,2021-08-26,2021/08/20,13431.0,,7012.0,4671.0,3897.0,2046.0,966.0
2019-03-01_2019-03-07_S1B_S1A.tif,2019-03-01,2019-03-07,2019/03/04,,,,3408.0,,1542.0,963.0
2018-02-20_2018-03-04_S1B_S1B.tif,2018-02-20,2018-03-04,2018/02/26,,,,,,,
2021-06-02_2021-06-14_S1B_S1B_T2.tif,2021-06-02,2021-06-14,2021/06/08,,,,4492.0,,1922.0,
2021-09-01_2021-09-07_S1B_S1A.tif,2021-09-01,2021-09-07,2021/09/04,,,,,,,
2019-08-04_2019-08-16_S1B_S1B.tif,2019-08-04,2019-08-16,2019/08/10,,,,,2877.0,1576.0,
2018-03-02_2018-03-08_S1B_S1A_T2.tif,2018-03-02,2018-03-08,2018/03/05,,,,,,,
2021-03-10_2021-03-22_S1B_S1B.tif,2021-03-10,2021-03-22,2021/03/16,,,,,,,
2018-07-19_2018-07-25_S1B_S1A.tif,2018-07-19,2018-07-25,2018/07/22,7489.0,5691.0,4456.0,3077.0,2808.0,1504.0,903.0
2021-02-02_2021-02-14_S1B_S1B_T2.tif,2021-02-02,2021-02-14,2021/02/08,,,,,,,
2022-07-01_2022-07-13_S1A_S1A_T2.tif,2022-07-01,2022-07-13,2022/07/07,,,,,,,
2019-11-20_2019-11-26_S1B_S1A.tif,2019-11-20,2019-11-26,2019/11/23,,,,,2896.0,1679.0,798.0
2019-07-23_2019-07-29_S1B_S1A.tif,2019-07-23,2019-07-29,2019/07/26,,,4858.0,3495.0,2848.0,1705.0,659.0
2020-07-17_2020-07-29_S1B_S1B_T2.tif,2020-07-17,2020-07-29,2020/07/23,,,,,,,
2020-02-27_2020-03-10_S1B_S1B_T2.tif,2020-02-27,2020-03-10,2020/03/04,,,,,2914.0,1607.0,786.0
2021-08-13_2021-08-25_S1B_S1B.tif,2021-08-13,2021-08-25,2021/08/19,,,,,,,
2018-09-22_2018-10-04_S1B_S1B.tif,2018-09-22,2018-10-04,2018/09/28,8826.0,,5018.0,,2987.0,1643.0,735.0
2019-11-08_2019-11-14_S1B_S1A_T2.tif,2019-11-08,2019-11-14,2019/11/11,,,,,,,
2021-05-16_2021-05-22_S1B_S1A_T2.tif,2021-05-16,2021-05-22,2021/05/19,11752.0,8624.0,6024.0,3988.0,3455.0,1868.0,800.0
2021-06-09_2021-06-15_S1B_S1A_T2.tif,2021-06-09,2021-06-15,2021/06/12,,,,4604.0,,1814.0,907.0
2018-03-16_2018-03-22_S1B_S1A.tif,2018-03-16,2018-03-22,2018/03/19,,,,,,,
2021-07-20_2021-07-26_S1B_S1A.tif,2021-07-20,2021-07-26,2021/07/23,,,,,,,
2022-10-05_2022-10-17_S1A_S1A_T2.tif,2022-10-05,2022-10-17,2022/10/11,,,,,,,
2020-03-22_2020-04-03_S1B_S1B_T2.tif,2020-03-22,2020-04-03,2020/03/28,,,,,2861.0,1547.0,748.0
2021-01-11_2021-01-17_S1B_S1A.tif,2021-01-11,2021-01-17,2021/01/14,,,,4022.0,3443.0,1828.0,856.0
2019-09-09_2019-09-21_S1B_S1B.tif,2019-09-09,2019-09-21,2019/09/15,,,5163.0,,2907.0,1578.0,765.0
2020-05-26_2020-06-01_S1B_S1A_T2.tif,2020-05-26,2020-06-01,2020/05/29,8917.0,6870.0,,,2942.0,1614.0,795.0
2020-07-05_2020-07-11_S1B_S1A.tif,2020-07-05,2020-07-11,2020/07/08,,8065.0,5738.0,3928.0,3170.0,1710.0,978.0
2019-07-07_2019-07-19_S1B_S1B.tif,2019-07-07,2019-07-19,2019/07/13,,,,,,,
2020-07-11_2020-07-23_S1A_S1A.tif,2020-07-11,2020-07-23,2020/07/17,,,,3887.0,3220.0,1744.0,801.0
2020-05-30_2020-06-11_S1B_S1B_T2.tif,2020-05-30,2020-06-11,2020/06/05,,,,,,,
2021-03-02_2021-03-14_S1B_S1B_T2.tif,2021-03-02,2021-03-14,2021/03/08,,,,,,,
