=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 51
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-09-26 05:06:00 UTC
latitude:  69.0960518
longitude: -51.975719
ttf:       0
nsat:      4
min snr:   28
mean snr:  36
max snr:   43
hdop:      2.7

fix kind:  DiveEnd
fix time:  2021-10-01 07:44:00 UTC
latitude:  69.0985141
longitude: -51.9722853
ttf:       80
nsat:      9
min snr:   0
mean snr:  26
max snr:   39
hdop:      0.8

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1632632791 │          0.1200 │ descent start ║
║ 1632633122 │         10.0800 │       descent ║
║ 1632633210 │         20.2000 │       descent ║
║ 1632633301 │         30.1600 │       descent ║
║ 1632633392 │         40.0000 │       descent ║
║ 1632633483 │         50.0000 │       descent ║
║ 1632633486 │         50.3600 │  descent pump ║
║ 1632633577 │         60.0000 │       descent ║
║ 1632633673 │         70.0400 │       descent ║
║ 1632633769 │         80.0400 │       descent ║
║ 1632633868 │         90.0400 │       descent ║
║ 1632633966 │        100.0400 │       descent ║
║ 1632634065 │        110.0400 │       descent ║
║ 1632634165 │        120.0800 │       descent ║
║ 1632634263 │        130.0400 │       descent ║
║ 1632634364 │        140.0400 │       descent ║
║ 1632634463 │        150.0000 │       descent ║
║ 1632634569 │        160.0800 │       descent ║
║ 1632634676 │        170.0000 │       descent ║
║ 1632634781 │        180.0800 │       descent ║
║ 1632634884 │        190.0800 │       descent ║
║ 1632634986 │        200.0800 │       descent ║
║ 1632635089 │        210.0000 │       descent ║
║ 1632635197 │        220.0800 │       descent ║
║ 1632635298 │        229.0800 │  descent seek ║
║ 1632635309 │        230.0800 │       descent ║
║ 1632635646 │        261.6800 │       descent ║
║ 1632635742 │        271.0000 │       descent ║
║ 1632635844 │        281.0400 │       descent ║
║ 1632635947 │        291.0400 │       descent ║
║ 1632636049 │        301.0000 │       descent ║
║ 1632636151 │        311.0800 │       descent ║
║ 1632636252 │        321.0400 │       descent ║
║ 1632636355 │        331.0800 │       descent ║
║ 1632636458 │        341.0400 │       descent ║
║ 1632636561 │        351.0400 │       descent ║
║ 1632636666 │        361.0800 │       descent ║
║ 1632636771 │        371.0800 │       descent ║
║ 1632636879 │        381.0400 │       descent ║
║ 1632636989 │        391.0800 │       descent ║
║ 1632637098 │        401.0400 │       descent ║
║ 1632637209 │        411.0400 │       descent ║
║ 1632637321 │        421.0400 │       descent ║
║ 1632637435 │        431.0400 │       descent ║
║ 1632637544 │        441.0000 │       descent ║
║ 1632637653 │        451.0000 │       descent ║
║ 1632637763 │        461.0000 │       descent ║
║ 1632638363 │        467.8800 │       descent ║
║ 1632638963 │        467.8400 │       descent ║
║ 1632639246 │        467.8000 │  descent seek ║
║ 1632639563 │        467.8000 │       descent ║
║ 1632640163 │        467.7600 │       descent ║
║ 1632640763 │        467.7200 │       descent ║
║ 1632641363 │        467.6800 │       descent ║
║ 1632641963 │        467.6400 │       descent ║
║ 1632642563 │        467.6000 │       descent ║
║ 1632642879 │        467.6000 │  descent seek ║
║ 1632643163 │        467.6000 │       descent ║
║ 1632643763 │        467.5600 │       descent ║
║ 1632644363 │        467.5600 │       descent ║
║ 1632644963 │        467.5600 │       descent ║
║ 1632645563 │        467.5600 │       descent ║
║ 1632646163 │        467.5600 │       descent ║
║ 1632646763 │        467.5600 │       descent ║
║ 1632647363 │        467.5600 │       descent ║
║ 1632647963 │        467.6000 │       descent ║
║ 1632648563 │        467.6000 │       descent ║
║ 1632649163 │        467.6400 │       descent ║
║ 1632649763 │        467.6800 │       descent ║
║ 1632650111 │        467.6800 │       descent ║
║ 1633071319 │        468.3600 │  ascent start ║
║ 1633071736 │        458.9600 │        ascent ║
║ 1633071807 │        449.0000 │        ascent ║
║ 1633071874 │        438.8400 │        ascent ║
║ 1633071937 │        428.7200 │        ascent ║
║ 1633071999 │        418.7200 │        ascent ║
║ 1633072060 │        408.7600 │        ascent ║
║ 1633072114 │        398.9200 │        ascent ║
║ 1633072169 │        388.8000 │        ascent ║
║ 1633072225 │        378.6800 │        ascent ║
║ 1633072279 │        368.7200 │        ascent ║
║ 1633072329 │        358.7200 │        ascent ║
║ 1633072379 │        348.6400 │        ascent ║
║ 1633072428 │        338.8800 │        ascent ║
║ 1633072478 │        328.7600 │        ascent ║
║ 1633072525 │        318.8800 │        ascent ║
║ 1633072572 │        308.8000 │        ascent ║
║ 1633072618 │        298.8000 │        ascent ║
║ 1633072665 │        288.9200 │        ascent ║
║ 1633072713 │        278.7200 │        ascent ║
║ 1633072759 │        268.5600 │        ascent ║
║ 1633072801 │        258.8000 │        ascent ║
║ 1633072845 │        248.8400 │        ascent ║
║ 1633072890 │        238.9200 │        ascent ║
║ 1633072934 │        228.6800 │        ascent ║
║ 1633072976 │        218.9200 │        ascent ║
║ 1633073020 │        208.8000 │        ascent ║
║ 1633073065 │        198.6400 │        ascent ║
║ 1633073107 │        188.9200 │        ascent ║
║ 1633073153 │        178.6800 │        ascent ║
║ 1633073197 │        168.8000 │        ascent ║
║ 1633073243 │        158.7200 │        ascent ║
║ 1633073288 │        148.9200 │        ascent ║
║ 1633073332 │        138.8000 │        ascent ║
║ 1633073374 │        128.7600 │        ascent ║
║ 1633073417 │        118.7200 │        ascent ║
║ 1633073458 │        108.9200 │        ascent ║
║ 1633073500 │         98.8000 │        ascent ║
║ 1633073543 │         88.8400 │        ascent ║
║ 1633073587 │         78.6400 │        ascent ║
║ 1633073629 │         68.8000 │        ascent ║
║ 1633073673 │         58.8000 │        ascent ║
║ 1633073718 │         48.8800 │        ascent ║
║ 1633073762 │         38.9600 │        ascent ║
║ 1633073806 │         28.8800 │        ascent ║
║ 1633073852 │         18.6800 │        ascent ║
║ 1633073896 │          8.8000 │        ascent ║
║ 1633073929 │          1.6800 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
