=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1641474191 │         -0.3200 │ descent start ║
║ 1641474700 │         10.1600 │       descent ║
║ 1641474778 │         20.0800 │       descent ║
║ 1641474853 │         30.1200 │       descent ║
║ 1641474923 │         40.2000 │       descent ║
║ 1641474992 │         50.0000 │       descent ║
║ 1641474995 │         50.4400 │  descent pump ║
║ 1641475067 │         60.0800 │       descent ║
║ 1641475146 │         70.0800 │       descent ║
║ 1641475226 │         80.0400 │       descent ║
║ 1641475305 │         90.0400 │       descent ║
║ 1641475384 │        100.0400 │       descent ║
║ 1641475463 │        110.0800 │       descent ║
║ 1641475539 │        120.0000 │       descent ║
║ 1641475618 │        130.0800 │       descent ║
║ 1641475698 │        140.0800 │       descent ║
║ 1641475780 │        150.0400 │       descent ║
║ 1641475863 │        160.0800 │       descent ║
║ 1641475944 │        170.0800 │       descent ║
║ 1641476028 │        180.0400 │       descent ║
║ 1641476112 │        190.0000 │       descent ║
║ 1641476197 │        200.0400 │       descent ║
║ 1641476282 │        210.0000 │       descent ║
║ 1641476367 │        220.0000 │       descent ║
║ 1641476454 │        230.0800 │       descent ║
║ 1641476542 │        240.0800 │       descent ║
║ 1641476630 │        250.0400 │       descent ║
║ 1641476718 │        260.0400 │       descent ║
║ 1641476801 │        269.5600 │  descent seek ║
║ 1641476805 │        270.0400 │       descent ║
║ 1641477148 │        310.4400 │       descent ║
║ 1641477232 │        320.0800 │       descent ║
║ 1641477319 │        330.0800 │       descent ║
║ 1641477406 │        340.0000 │       descent ║
║ 1641477492 │        350.0800 │       descent ║
║ 1641477576 │        360.0400 │       descent ║
║ 1641477659 │        370.0400 │       descent ║
║ 1641477743 │        380.0000 │       descent ║
║ 1641477828 │        390.0000 │       descent ║
║ 1641477915 │        400.0000 │       descent ║
║ 1641478003 │        410.0400 │       descent ║
║ 1641478091 │        420.0800 │       descent ║
║ 1641478178 │        430.0400 │       descent ║
║ 1641478264 │        440.0400 │       descent ║
║ 1641478351 │        450.0400 │       descent ║
║ 1641478951 │        458.6000 │       descent ║
║ 1641479551 │        458.6000 │       descent ║
║ 1641480151 │        458.6000 │       descent ║
║ 1641480749 │        458.6400 │  descent seek ║
║ 1641480751 │        458.6400 │       descent ║
║ 1641481351 │        458.6400 │       descent ║
║ 1641481951 │        458.6000 │       descent ║
║ 1641482551 │        458.6000 │       descent ║
║ 1641483151 │        458.6000 │       descent ║
║ 1641483751 │        458.5600 │       descent ║
║ 1641484351 │        458.5200 │       descent ║
║ 1641484381 │        458.5200 │  descent seek ║
║ 1641484951 │        458.4800 │       descent ║
║ 1641485551 │        458.4400 │       descent ║
║ 1641486151 │        458.4000 │       descent ║
║ 1641486751 │        458.3200 │       descent ║
║ 1641487351 │        458.2800 │       descent ║
║ 1641487951 │        458.2000 │       descent ║
║ 1641488551 │        458.1600 │       descent ║
