=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 80
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1645458104 │          0.0800 │ descent start ║
║ 1645458495 │         10.1600 │       descent ║
║ 1645458565 │         20.0800 │       descent ║
║ 1645458640 │         30.1200 │       descent ║
║ 1645458719 │         40.0400 │       descent ║
║ 1645458795 │         50.0800 │       descent ║
║ 1645458798 │         50.4800 │  descent pump ║
║ 1645458869 │         60.0800 │       descent ║
║ 1645458943 │         70.0400 │       descent ║
║ 1645459017 │         80.0800 │       descent ║
║ 1645459089 │         90.1200 │       descent ║
║ 1645459164 │        100.0400 │       descent ║
║ 1645459241 │        110.0800 │       descent ║
║ 1645459321 │        120.0800 │       descent ║
║ 1645459400 │        130.0800 │       descent ║
║ 1645459478 │        140.0400 │       descent ║
║ 1645459560 │        150.0800 │       descent ║
║ 1645459644 │        160.0800 │       descent ║
║ 1645459730 │        170.0800 │       descent ║
║ 1645459816 │        180.0400 │       descent ║
║ 1645459902 │        190.0400 │       descent ║
║ 1645459988 │        200.0000 │       descent ║
║ 1645460075 │        210.0000 │       descent ║
║ 1645460164 │        220.0400 │       descent ║
║ 1645460252 │        230.0400 │       descent ║
║ 1645460338 │        240.0400 │       descent ║
║ 1645460422 │        250.0800 │       descent ║
║ 1645460507 │        260.0800 │       descent ║
║ 1645460594 │        270.0400 │       descent ║
║ 1645460604 │        271.0800 │  descent seek ║
║ 1645460950 │        309.8800 │       descent ║
║ 1645461037 │        319.0400 │       descent ║
║ 1645461132 │        329.0400 │       descent ║
║ 1645461226 │        339.0400 │       descent ║
║ 1645461318 │        349.0400 │       descent ║
║ 1645461411 │        359.0400 │       descent ║
║ 1645461509 │        369.0400 │       descent ║
║ 1645461602 │        379.0400 │       descent ║
║ 1645461694 │        389.0000 │       descent ║
║ 1645461787 │        399.0800 │       descent ║
║ 1645462387 │        400.6800 │       descent ║
║ 1645462987 │        400.6000 │       descent ║
║ 1645463587 │        400.5200 │       descent ║
║ 1645464187 │        400.4400 │       descent ║
║ 1645464550 │        400.4000 │  descent seek ║
║ 1645464787 │        400.4000 │       descent ║
║ 1645465387 │        400.3200 │       descent ║
║ 1645465987 │        400.2400 │       descent ║
║ 1645466587 │        400.1600 │       descent ║
║ 1645467187 │        400.0800 │       descent ║
║ 1645467787 │        400.0000 │       descent ║
║ 1645468181 │        399.9200 │  descent seek ║
║ 1645468522 │        399.8800 │       descent ║
║ 1645469122 │        399.8400 │       descent ║
║ 1645469722 │        399.7600 │       descent ║
║ 1645470322 │        399.6800 │       descent ║
║ 1645470922 │        399.6000 │       descent ║
║ 1645471522 │        399.5200 │       descent ║
║ 1645472122 │        399.4800 │       descent ║
║ 1645472722 │        399.4000 │       descent ║
║ 1645473322 │        399.3600 │       descent ║
║ 1645473922 │        399.2800 │       descent ║
║ 1645474522 │        399.2400 │       descent ║
║ 1645475122 │        399.2000 │       descent ║
║ 1645475722 │        399.1600 │       descent ║
║ 1645896930 │        399.8800 │  ascent start ║
║ 1645897263 │        389.8400 │        ascent ║
║ 1645897347 │        379.8000 │        ascent ║
║ 1645897426 │        369.9200 │        ascent ║
║ 1645897503 │        359.8800 │        ascent ║
║ 1645897574 │        349.9600 │        ascent ║
║ 1645897647 │        339.9600 │        ascent ║
║ 1645897714 │        329.9600 │        ascent ║
║ 1645897778 │        319.8400 │        ascent ║
║ 1645897843 │        309.7200 │        ascent ║
║ 1645897902 │        300.0000 │        ascent ║
║ 1645897959 │        289.9200 │        ascent ║
║ 1645898015 │        279.8400 │        ascent ║
║ 1645898070 │        269.9600 │        ascent ║
║ 1645898122 │        259.8000 │        ascent ║
║ 1645898172 │        249.9200 │        ascent ║
║ 1645898223 │        239.6400 │        ascent ║
║ 1645898270 │        229.7200 │        ascent ║
║ 1645898318 │        219.7200 │        ascent ║
