MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,potential_density
LGR_CP_PTSCI,20200913T131417,81.00433,2.06689,33.84173,29.94735,1.97757,1027.2941598047155
LGR_CP_PTSCI,20200913T131445,78.9871,2.07263,33.83317,29.94449,1.92548,1027.2774019734786
LGR_CP_PTSCI,20200913T131515,76.97735,2.07849,33.82992,29.94599,1.99631,1027.2648935462637
LGR_CP_PTSCI,20200913T131545,74.97876,2.0274,33.82795,29.89987,2.01691,1027.2579708015858
LGR_CP_PTSCI,20200913T131616,72.99669,2.0105,33.81766,29.87632,1.96838,1027.2417841046888
LGR_CP_PTSCI,20200913T131647,71.01222,2.22305,33.81308,30.05337,2.00476,1027.2118160216146
LGR_CP_PTSCI,20200914T100021,82.97316,2.0769,33.82579,29.94404,2.15552,1027.289945906295
LGR_CP_PTSCI,20200914T100050,81.00342,2.18695,33.81364,30.02747,2.08102,1027.2621694532581
LGR_CP_PTSCI,20200914T100121,78.99901,2.37854,33.81458,30.19129,2.10516,1027.237742302056
LGR_CP_PTSCI,20200914T100154,76.99252,2.48776,33.82008,30.28846,2.1586,1027.223508796607
LGR_CP_PTSCI,20200914T100227,74.98826,2.51987,33.81679,30.31245,2.15994,1027.208762911213
LGR_CP_PTSCI,20200915T070402,87.01151,2.36441,33.84115,30.20424,2.12418,1027.2976628500046
LGR_CP_PTSCI,20200915T070428,84.994,2.38123,33.83381,30.21182,2.1626,1027.2809508070081
LGR_CP_PTSCI,20200915T070458,82.99112,2.37811,33.82985,30.20505,2.21249,1027.2686597191498
LGR_CP_PTSCI,20200915T070528,81.00517,2.35886,33.82117,30.18064,2.22861,1027.2540410098004
LGR_CP_PTSCI,20200915T070558,79.01112,2.33456,33.81364,30.15288,2.20474,1027.2407081684282
LGR_CP_PTSCI,20200915T070629,76.9837,2.32535,33.8097,30.14089,2.28271,1027.228813822618
LGR_CP_PTSCI,20200915T070700,75.00502,2.30142,33.80275,30.11392,2.26431,1027.2159660461275
LGR_CP_PTSCI,20200916T041403,80.96375,2.28061,33.87251,30.15495,2.24594,1027.3011273154864
LGR_CP_PTSCI,20200916T041425,78.96874,2.29208,33.86565,30.15836,2.2608,1027.2853550297827
LGR_CP_PTSCI,20200916T041448,76.98104,2.39996,33.83801,30.22766,2.26846,1027.2450909241195
LGR_CP_PTSCI,20200916T041511,75.00826,2.52304,33.8175,30.31575,2.23779,1027.2091509191362
LGR_CP_PTSCI,20200917T011403,86.98369,1.98807,33.81713,29.86308,2.00485,1027.3089696697234
LGR_CP_PTSCI,20200917T011428,85.00352,2.07785,33.81932,29.94059,1.98007,1027.2942760688863
LGR_CP_PTSCI,20200917T011453,83.01714,2.09955,33.82266,29.96091,1.99677,1027.2858533685035
LGR_CP_PTSCI,20200917T011519,81.02578,2.14706,33.8212,29.99944,2.00403,1027.271509949482
LGR_CP_PTSCI,20200917T011546,79.0181,2.22433,33.81598,30.06041,2.0423,1027.251657935068
LGR_CP_PTSCI,20200917T011614,76.99685,2.19434,33.8139,30.03218,2.05664,1027.2429378740005
LGR_CP_PTSCI,20200917T011643,74.98307,2.06421,33.8041,29.91223,2.06558,1027.2361039931586
LGR_CP_PTSCI,20200917T011713,72.98598,1.93936,33.7891,29.79285,2.09354,1027.2245633102002
