MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20200917T211525,371.89514,2.58801,34.21968,30.83145,2.58191
LGR_CP_PTSCI,20200917T213651,369.02133,2.58823,34.21966,30.83033,2.60721
LGR_CP_PTSCI,20200917T213718,366.99243,2.58612,34.21982,30.82773,2.56003
LGR_CP_PTSCI,20200917T213743,365.00928,2.58560,34.21949,30.82612,2.55893
LGR_CP_PTSCI,20200917T213807,362.98145,2.58707,34.21980,30.82674,2.62106
LGR_CP_PTSCI,20200917T213832,360.98560,2.58746,34.22005,30.82641,2.61200
LGR_CP_PTSCI,20200917T213859,359.01135,2.58691,34.21978,30.82483,2.62976
LGR_CP_PTSCI,20200917T213926,357.00812,2.58655,34.22004,30.82383,2.61887
LGR_CP_PTSCI,20200917T213954,355.01370,2.58780,34.22016,30.82412,2.59143
LGR_CP_PTSCI,20200917T214019,353.02417,2.58795,34.22068,30.82378,2.60437
LGR_CP_PTSCI,20200917T214043,350.98459,2.58826,34.22059,30.82306,2.59378
LGR_CP_PTSCI,20200917T214106,348.97824,2.58813,34.22044,30.82194,2.58026
LGR_CP_PTSCI,20200917T214128,346.99921,2.58856,34.22064,30.82159,2.57233
LGR_CP_PTSCI,20200917T214150,345.01984,2.58823,34.22083,30.82057,2.55054
LGR_CP_PTSCI,20200917T214212,343.00800,2.58759,34.22084,30.81911,2.58621
LGR_CP_PTSCI,20200917T214235,340.97836,2.58743,34.22079,30.81804,2.59567
LGR_CP_PTSCI,20200917T214258,338.99066,2.58682,34.22067,30.81652,2.55054
LGR_CP_PTSCI,20200917T214320,337.03656,2.58643,34.22088,30.81548,2.63174
LGR_CP_PTSCI,20200917T214342,335.02658,2.58667,34.22058,30.81455,2.59656
LGR_CP_PTSCI,20200917T214403,333.01111,2.58600,34.22070,30.81316,2.60580
LGR_CP_PTSCI,20200917T214423,330.98431,2.58591,34.22091,30.81234,2.59656
LGR_CP_PTSCI,20200917T214444,328.98193,2.58469,34.22054,30.81009,2.63196
LGR_CP_PTSCI,20200917T214504,326.99872,2.58365,34.22027,30.80809,2.59610
LGR_CP_PTSCI,20200917T214526,325.01364,2.58350,34.22041,30.80718,2.57584
LGR_CP_PTSCI,20200917T214547,323.03516,2.58435,34.22057,30.80716,2.60071
LGR_CP_PTSCI,20200917T214608,321.02792,2.58347,34.22044,30.80539,2.56439
LGR_CP_PTSCI,20200917T214628,319.03400,2.58173,34.22021,30.80280,2.55090
LGR_CP_PTSCI,20200917T214649,317.03357,2.58047,34.22001,30.80066,2.57629
LGR_CP_PTSCI,20200917T214711,315.01309,2.57974,34.21977,30.79892,2.58026
LGR_CP_PTSCI,20200917T214733,312.99734,2.57706,34.21935,30.79535,2.55505
LGR_CP_PTSCI,20200917T214754,311.02496,2.57422,34.21919,30.79188,2.55920
LGR_CP_PTSCI,20200917T214815,309.00912,2.56842,34.21792,30.78491,2.56754
LGR_CP_PTSCI,20200917T214836,307.01050,2.56567,34.21742,30.78123,2.57376
LGR_CP_PTSCI,20200917T214857,305.00766,2.56567,34.21687,30.77988,2.53500
LGR_CP_PTSCI,20200917T214920,302.96652,2.56644,34.21712,30.77984,2.55966
LGR_CP_PTSCI,20200917T214943,300.96799,2.56754,34.21732,30.78006,2.58051
LGR_CP_PTSCI,20200917T215006,298.97812,2.56808,34.21755,30.77983,2.59348
LGR_CP_PTSCI,20200917T215030,296.99838,2.56055,34.21712,30.77206,2.58621
LGR_CP_PTSCI,20200917T215053,295.01123,2.55923,34.21598,30.76910,2.56802
LGR_CP_PTSCI,20200917T215117,292.97964,2.55884,34.21588,30.76776,2.57483
LGR_CP_PTSCI,20200917T215140,290.99783,2.55719,34.21543,30.76509,2.51981
LGR_CP_PTSCI,20200917T215203,289.00595,2.54663,34.21273,30.75285,2.53210
LGR_CP_PTSCI,20200917T215228,286.98019,2.53940,34.20969,30.74320,2.57397
LGR_CP_PTSCI,20200917T215253,284.97931,2.53836,34.20894,30.74079,2.55533
LGR_CP_PTSCI,20200917T215317,282.98376,2.53546,34.20800,30.73663,2.51169
LGR_CP_PTSCI,20200917T215341,281.01428,2.53625,34.20803,30.73646,2.55307
LGR_CP_PTSCI,20200917T215406,279.03052,2.53610,34.20806,30.73546,2.55829
LGR_CP_PTSCI,20200917T215431,277.01282,2.53738,34.20852,30.73603,2.61469
LGR_CP_PTSCI,20200917T215457,274.97900,2.54044,34.21024,30.73916,2.53036
LGR_CP_PTSCI,20200917T215522,272.98193,2.54102,34.21030,30.73882,2.56906
LGR_CP_PTSCI,20200917T215550,271.02078,2.53906,34.20937,30.73548,2.55972
LGR_CP_PTSCI,20200917T215618,269.00986,2.53476,34.20875,30.73035,2.56213
LGR_CP_PTSCI,20200917T215647,267.00742,2.53293,34.20871,30.72784,2.58771
LGR_CP_PTSCI,20200917T215716,264.99829,2.52475,34.20624,30.71784,2.54822
LGR_CP_PTSCI,20200917T215747,263.00623,2.51663,34.17265,30.68269,2.56369
LGR_CP_PTSCI,20200917T215818,260.99860,2.50427,34.08649,30.60126,2.54401
LGR_CP_PTSCI,20200917T215849,258.98093,2.48792,34.19534,30.67440,2.57455
LGR_CP_PTSCI,20200917T215919,257.00705,2.47894,34.19394,30.66461,2.60123
LGR_CP_PTSCI,20200917T215948,255.01816,2.46478,34.18934,30.64773,2.57718
LGR_CP_PTSCI,20200917T220017,253.02060,2.46997,34.18988,30.65176,2.55551
LGR_CP_PTSCI,20200917T220044,250.97827,2.46912,34.18983,30.65006,2.55777
LGR_CP_PTSCI,20200917T220107,248.99905,2.46454,34.18787,30.64363,2.50516
LGR_CP_PTSCI,20200917T220128,247.01959,2.45972,34.18680,30.63770,2.55399
LGR_CP_PTSCI,20200917T220151,244.99728,2.43732,34.18041,30.61224,2.53036
LGR_CP_PTSCI,20200917T220216,242.99203,2.41989,34.17520,30.59204,2.51990
LGR_CP_PTSCI,20200917T220241,240.99417,2.39111,34.16723,30.55983,2.47888
LGR_CP_PTSCI,20200917T220305,238.98288,2.36746,34.15916,30.53197,2.49530
LGR_CP_PTSCI,20200917T220329,236.96707,2.34680,34.15237,30.50773,2.51791
