=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 78
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-11 09:25:00 UTC
latitude:  69.0980682
longitude: -51.9754275
ttf:       220
nsat:      4
min snr:   27
mean snr:  34
max snr:   40
hdop:      2.3

fix kind:  DiveEnd
fix time:  2022-02-16 11:59:00 UTC
latitude:  69.1007741
longitude: -51.9643376
ttf:       70
nsat:      7
min snr:   0
mean snr:  33
max snr:   43
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1644571565 │         -0.1200 │ descent start ║
║ 1644572022 │         10.0800 │       descent ║
║ 1644572102 │         20.1600 │       descent ║
║ 1644572181 │         30.0400 │       descent ║
║ 1644572265 │         40.0800 │       descent ║
║ 1644572346 │         50.2000 │       descent ║
║ 1644572349 │         50.5600 │  descent pump ║
║ 1644572425 │         60.1200 │       descent ║
║ 1644572502 │         70.0400 │       descent ║
║ 1644572577 │         80.0000 │       descent ║
║ 1644572652 │         90.0400 │       descent ║
║ 1644572729 │        100.1200 │       descent ║
║ 1644572806 │        110.0800 │       descent ║
║ 1644572884 │        120.0800 │       descent ║
║ 1644572963 │        130.0400 │       descent ║
║ 1644573043 │        140.0400 │       descent ║
║ 1644573127 │        150.0800 │       descent ║
║ 1644573213 │        160.0400 │       descent ║
║ 1644573300 │        170.0400 │       descent ║
║ 1644573387 │        180.0000 │       descent ║
║ 1644573475 │        190.0400 │       descent ║
║ 1644573563 │        200.0400 │       descent ║
║ 1644573652 │        210.0800 │       descent ║
║ 1644573739 │        220.0800 │       descent ║
║ 1644573826 │        230.0800 │       descent ║
║ 1644573913 │        240.0400 │       descent ║
║ 1644573997 │        250.0000 │       descent ║
║ 1644574083 │        260.0800 │       descent ║
║ 1644574156 │        268.5200 │  descent seek ║
║ 1644574168 │        270.0000 │       descent ║
║ 1644574503 │        309.9600 │       descent ║
║ 1644574580 │        319.0800 │       descent ║
║ 1644574666 │        329.0800 │       descent ║
║ 1644574751 │        339.0400 │       descent ║
║ 1644574837 │        349.0000 │       descent ║
║ 1644574923 │        359.0000 │       descent ║
║ 1644575007 │        369.0800 │       descent ║
║ 1644575093 │        379.0400 │       descent ║
║ 1644575183 │        389.0800 │       descent ║
║ 1644575277 │        399.0000 │       descent ║
║ 1644575376 │        409.0400 │       descent ║
║ 1644575468 │        419.0800 │       descent ║
║ 1644575555 │        429.0800 │       descent ║
║ 1644575643 │        439.0800 │       descent ║
║ 1644575731 │        449.0400 │       descent ║
║ 1644575824 │        459.0400 │       descent ║
║ 1644576424 │        468.3600 │       descent ║
║ 1644577024 │        468.3200 │       descent ║
║ 1644577624 │        468.3200 │       descent ║
║ 1644578104 │        468.2800 │  descent seek ║
║ 1644578224 │        468.2800 │       descent ║
║ 1644578824 │        468.2800 │       descent ║
║ 1644579424 │        468.2400 │       descent ║
║ 1644580024 │        468.2000 │       descent ║
║ 1644580624 │        468.1600 │       descent ║
║ 1644581224 │        468.1600 │       descent ║
║ 1644581736 │        468.1200 │  descent seek ║
║ 1644581824 │        468.1200 │       descent ║
║ 1644582424 │        468.0800 │       descent ║
║ 1644583024 │        468.0800 │       descent ║
║ 1644583624 │        468.0400 │       descent ║
║ 1644584224 │        468.0000 │       descent ║
║ 1644584824 │        468.0000 │       descent ║
║ 1644585424 │        467.9600 │       descent ║
║ 1644586024 │        467.9200 │       descent ║
║ 1644586624 │        467.9200 │       descent ║
║ 1644587224 │        467.8800 │       descent ║
║ 1644587824 │        467.8800 │       descent ║
║ 1644588424 │        467.8400 │       descent ║
║ 1644588968 │        467.8400 │       descent ║
║ 1645010177 │        468.8000 │  ascent start ║
║ 1645010416 │        458.8800 │        ascent ║
║ 1645010508 │        448.8000 │        ascent ║
║ 1645010583 │        438.9200 │        ascent ║
║ 1645010656 │        428.8800 │        ascent ║
║ 1645010722 │        419.0000 │        ascent ║
║ 1645010782 │        408.8000 │        ascent ║
║ 1645010841 │        398.8400 │        ascent ║
║ 1645010900 │        388.8400 │        ascent ║
║ 1645010958 │        378.6400 │        ascent ║
║ 1645011013 │        368.7600 │        ascent ║
║ 1645011069 │        359.0000 │        ascent ║
║ 1645011128 │        348.8400 │        ascent ║
║ 1645011180 │        338.8800 │        ascent ║
║ 1645011232 │        328.8400 │        ascent ║
║ 1645011284 │        318.9200 │        ascent ║
║ 1645011338 │        308.6800 │        ascent ║
║ 1645011386 │        298.7600 │        ascent ║
║ 1645011435 │        288.8000 │        ascent ║
║ 1645011484 │        278.6800 │        ascent ║
║ 1645011532 │        268.7200 │        ascent ║
║ 1645011578 │        258.8400 │        ascent ║
║ 1645011624 │        248.9600 │        ascent ║
║ 1645011671 │        238.6400 │        ascent ║
║ 1645011714 │        228.8400 │        ascent ║
║ 1645011758 │        218.7600 │        ascent ║
║ 1645011804 │        208.7600 │        ascent ║
║ 1645011850 │        199.0000 │        ascent ║
║ 1645011898 │        188.7600 │        ascent ║
║ 1645011942 │        178.7200 │        ascent ║
║ 1645011984 │        168.9200 │        ascent ║
║ 1645012029 │        158.7200 │        ascent ║
║ 1645012071 │        148.7200 │        ascent ║
║ 1645012114 │        138.6800 │        ascent ║
║ 1645012154 │        128.8400 │        ascent ║
║ 1645012195 │        118.8400 │        ascent ║
║ 1645012236 │        108.9600 │        ascent ║
║ 1645012278 │         98.6000 │        ascent ║
║ 1645012319 │         88.8000 │        ascent ║
║ 1645012362 │         78.6800 │        ascent ║
║ 1645012403 │         68.9600 │        ascent ║
║ 1645012445 │         58.9200 │        ascent ║
║ 1645012488 │         48.7600 │        ascent ║
║ 1645012528 │         38.9200 │        ascent ║
║ 1645012571 │         28.8000 │        ascent ║
║ 1645012614 │         18.8000 │        ascent ║
║ 1645012658 │          8.9600 │        ascent ║
║ 1645012689 │          1.6400 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
║        467.6800 │             2.8280 │        34.2240 │           1200 ║
║        467.6400 │             2.8250 │        34.2250 │           3000 ║
║        467.6000 │             2.8250 │        34.2220 │           4800 ║
║        467.6000 │             2.8270 │        34.2200 │           6600 ║
║        467.6000 │             2.8280 │        34.2220 │           8400 ║
║        467.6000 │             2.8260 │        34.2230 │          10200 ║
║        467.6000 │             2.8270 │        34.2230 │          12000 ║
║        467.6400 │             2.8280 │        34.2200 │          13800 ║
║        467.6400 │             2.8140 │        34.2190 │          15600 ║
║        467.6800 │             2.8130 │        34.2210 │          17400 ║
║        467.7200 │             2.8130 │        34.2200 │          19200 ║
║        467.7600 │             2.8110 │        34.2170 │          21000 ║
║        467.7600 │             2.8120 │        34.2200 │          22800 ║
║        467.7600 │             2.8130 │        34.2170 │          24600 ║
║        467.7200 │             2.8150 │        34.2180 │          26400 ║
║        467.6800 │             2.8140 │        34.2170 │          28200 ║
║        467.6400 │             2.8170 │        34.2170 │          30000 ║
║        467.5600 │             2.8160 │        34.2200 │          31800 ║
║        467.4800 │             2.8170 │        34.2160 │          33600 ║
║        467.4400 │             2.8170 │        34.2190 │          35400 ║
║        467.3200 │             2.8200 │        34.2170 │          37200 ║
║        467.2400 │             2.8190 │        34.2170 │          39000 ║
║        467.1600 │             2.8200 │        34.2190 │          40800 ║
║        467.1200 │             2.8200 │        34.2180 │          42600 ║
║        467.0400 │             2.8280 │        34.2180 │          44400 ║
║        467.0400 │             2.8410 │        34.2220 │          46200 ║
║        467.0400 │             2.8430 │        34.2220 │          48000 ║
║        467.0800 │             2.8360 │        34.2200 │          49800 ║
║        467.1200 │             2.8310 │        34.2220 │          51600 ║
║        467.2400 │             2.8330 │        34.2190 │          53400 ║
║        467.3600 │             2.8330 │        34.2190 │          55200 ║
║        467.5200 │             2.8320 │        34.2180 │          57000 ║
║        467.6800 │             2.8300 │        34.2160 │          58800 ║
║        467.8400 │             2.8380 │        34.2190 │          60600 ║
║        468.0000 │             2.8420 │        34.2170 │          62400 ║
║        468.1200 │             2.8420 │        34.2180 │          64200 ║
║        468.2400 │             2.8440 │        34.2200 │          66000 ║
║        468.3200 │             2.8430 │        34.2210 │          67800 ║
║        468.3600 │             2.8440 │        34.2190 │          69600 ║
║        468.4000 │             2.8460 │        34.2170 │          71400 ║
║        468.4400 │             2.8460 │        34.2210 │          73200 ║
║        468.4000 │             2.8470 │        34.2190 │          75000 ║
║        468.3600 │             2.8440 │        34.2180 │          76800 ║
║        468.3200 │             2.8460 │        34.2180 │          78600 ║
║        468.2000 │             2.8450 │        34.2180 │          80400 ║
║        468.1200 │             2.8420 │        34.2160 │          82200 ║
║        468.0000 │             2.8410 │        34.2160 │          84000 ║
║        467.8800 │             2.8400 │        34.2160 │          85800 ║
║        467.7600 │             2.8400 │        34.2130 │          87600 ║
║        467.6800 │             2.8370 │        34.2150 │          89400 ║
║        467.6400 │             2.8320 │        34.2160 │          91200 ║
║        467.6000 │             2.8300 │        34.2120 │          93000 ║
║        467.6000 │             2.8290 │        34.2110 │          94800 ║
║        467.6000 │             2.8240 │        34.2150 │          96600 ║
║        467.6400 │             2.8240 │        34.2080 │          98400 ║
║        467.6400 │             2.8210 │        34.2110 │         100200 ║
║        467.6800 │             2.8220 │        34.2110 │         102000 ║
║        467.6800 │             2.8210 │        34.2100 │         103800 ║
║        467.7200 │             2.8210 │        34.2130 │         105600 ║
║        467.7600 │             2.8210 │        34.2110 │         107400 ║
║        467.8000 │             2.8220 │        34.2100 │         109200 ║
║        467.8400 │             2.8220 │        34.2090 │         111000 ║
║        467.8800 │             2.8220 │        34.2090 │         112800 ║
║        467.8800 │             2.8220 │        34.2090 │         114600 ║
║        467.8400 │             2.8220 │        34.2080 │         116400 ║
║        467.7600 │             2.8200 │        34.2110 │         118200 ║
║        467.6800 │             2.8190 │        34.2080 │         120000 ║
║        467.6000 │             2.8200 │        34.2060 │         121800 ║
║        467.5200 │             2.8210 │        34.2070 │         123600 ║
║        467.4400 │             2.8220 │        34.2070 │         125400 ║
║        467.3200 │             2.8220 │        34.2080 │         127200 ║
║        467.2000 │             2.8220 │        34.2080 │         129000 ║
║        467.1200 │             2.8230 │        34.2080 │         130800 ║
║        467.0400 │             2.8230 │        34.2070 │         132600 ║
║        466.9600 │             2.8220 │        34.2070 │         134400 ║
║        466.9200 │             2.8220 │        34.2090 │         136200 ║
║        466.9600 │             2.8230 │        34.2070 │         138000 ║
║        467.0000 │             2.8230 │        34.2080 │         139800 ║
║        467.1200 │             2.8230 │        34.2050 │         141600 ║
║        467.2400 │             2.8250 │        34.2070 │         143400 ║
║        467.4000 │             2.8270 │        34.2090 │         145200 ║
║        467.6000 │             2.8260 │        34.2080 │         147000 ║
║        467.7600 │             2.8280 │        34.2070 │         148800 ║
║        467.9600 │             2.8270 │        34.2090 │         150600 ║
║        468.1200 │             2.8280 │        34.2060 │         152400 ║
║        468.2800 │             2.8280 │        34.2090 │         154200 ║
║        468.4000 │             2.8280 │        34.2100 │         156000 ║
║        468.5200 │             2.8290 │        34.2080 │         157800 ║
║        468.5600 │             2.8270 │        34.2100 │         159600 ║
║        468.6000 │             2.8290 │        34.2090 │         161400 ║
║        468.5600 │             2.8290 │        34.2080 │         163200 ║
║        468.5200 │             2.8300 │        34.2070 │         165000 ║
║        468.4000 │             2.8330 │        34.2070 │         166800 ║
║        468.2800 │             2.8320 │        34.2060 │         168600 ║
║        468.1600 │             2.8310 │        34.2110 │         170400 ║
║        468.0000 │             2.8320 │        34.2070 │         172200 ║
║        467.8400 │             2.8320 │        34.2070 │         174000 ║
