=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 67
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-17 01:41:00 UTC
latitude:  69.0917445
longitude: -52.0037365
ttf:       0
nsat:      7
min snr:   32
mean snr:  38
max snr:   45
hdop:      1.4

fix kind:  DiveEnd
fix time:  2021-12-22 04:27:00 UTC
latitude:  69.0915683
longitude: -52.0085745
ttf:       140
nsat:      1
min snr:   0
mean snr:  0
max snr:   0
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1639705305 │         -0.0400 │ descent start ║
║ 1639705735 │         10.1600 │       descent ║
║ 1639705809 │         20.0000 │       descent ║
║ 1639705882 │         30.1600 │       descent ║
║ 1639705954 │         40.1600 │       descent ║
║ 1639706026 │         50.1200 │       descent ║
║ 1639706029 │         50.5200 │  descent pump ║
║ 1639706101 │         60.0400 │       descent ║
║ 1639706179 │         70.0800 │       descent ║
║ 1639706258 │         80.0000 │       descent ║
║ 1639706337 │         90.0800 │       descent ║
║ 1639706416 │        100.0400 │       descent ║
║ 1639706494 │        110.0400 │       descent ║
║ 1639706575 │        120.0000 │       descent ║
║ 1639706656 │        130.0400 │       descent ║
║ 1639706738 │        140.0400 │       descent ║
║ 1639706819 │        150.0000 │       descent ║
║ 1639706901 │        160.0000 │       descent ║
║ 1639706986 │        170.0400 │       descent ║
║ 1639707072 │        180.0800 │       descent ║
║ 1639707154 │        190.0400 │       descent ║
║ 1639707237 │        200.0800 │       descent ║
║ 1639707318 │        210.0000 │       descent ║
║ 1639707403 │        220.0400 │       descent ║
║ 1639707493 │        230.0400 │       descent ║
║ 1639707580 │        240.0000 │       descent ║
║ 1639707669 │        250.0800 │       descent ║
║ 1639707755 │        260.0400 │       descent ║
║ 1639707835 │        269.2000 │  descent seek ║
║ 1639707842 │        270.0800 │       descent ║
║ 1639708182 │        312.1600 │       descent ║
║ 1639708263 │        322.0400 │       descent ║
║ 1639708343 │        332.0000 │       descent ║
║ 1639708425 │        342.0800 │       descent ║
║ 1639708506 │        352.0000 │       descent ║
║ 1639708587 │        362.0400 │       descent ║
║ 1639708671 │        372.0000 │       descent ║
║ 1639708755 │        382.0800 │       descent ║
║ 1639708841 │        392.0800 │       descent ║
║ 1639708929 │        402.0400 │       descent ║
║ 1639709020 │        412.0400 │       descent ║
║ 1639709109 │        422.0000 │       descent ║
║ 1639709197 │        432.0400 │       descent ║
║ 1639709283 │        442.0400 │       descent ║
║ 1639709883 │        445.3200 │       descent ║
║ 1639710483 │        445.2800 │       descent ║
║ 1639711083 │        445.2400 │       descent ║
║ 1639711683 │        445.2000 │       descent ║
║ 1639711783 │        445.2000 │  descent seek ║
║ 1639712283 │        445.1600 │       descent ║
║ 1639712883 │        445.1200 │       descent ║
║ 1639713483 │        445.1200 │       descent ║
║ 1639714083 │        445.0800 │       descent ║
║ 1639714683 │        445.0400 │       descent ║
║ 1639715283 │        445.0400 │       descent ║
║ 1639715414 │        445.0400 │  descent seek ║
║ 1639715883 │        445.0400 │       descent ║
║ 1639716483 │        445.0400 │       descent ║
║ 1639717083 │        445.0400 │       descent ║
║ 1639717683 │        445.0800 │       descent ║
║ 1639718283 │        445.0800 │       descent ║
║ 1639718883 │        445.1200 │       descent ║
║ 1639719483 │        445.1600 │       descent ║
║ 1639720083 │        445.2000 │       descent ║
║ 1639720683 │        445.2400 │       descent ║
║ 1639721283 │        445.2800 │       descent ║
║ 1639721883 │        445.3200 │       descent ║
║ 1639722483 │        445.4000 │       descent ║
║ 1639722647 │        445.4000 │       descent ║
║ 1640143856 │        446.3200 │  ascent start ║
║ 1640144456 │        445.9200 │        ascent ║
║ 1640144522 │        435.9200 │        ascent ║
║ 1640144586 │        425.8000 │        ascent ║
║ 1640144643 │        415.8400 │        ascent ║
║ 1640144699 │        405.9200 │        ascent ║
║ 1640144756 │        395.8800 │        ascent ║
║ 1640144813 │        385.6800 │        ascent ║
║ 1640144863 │        375.8400 │        ascent ║
║ 1640144915 │        365.6800 │        ascent ║
║ 1640144966 │        355.8800 │        ascent ║
║ 1640145018 │        345.7200 │        ascent ║
║ 1640145067 │        335.7200 │        ascent ║
║ 1640145113 │        325.9600 │        ascent ║
║ 1640145162 │        315.8800 │        ascent ║
║ 1640145210 │        305.7200 │        ascent ║
║ 1640145257 │        295.9600 │        ascent ║
║ 1640145304 │        285.6800 │        ascent ║
║ 1640145348 │        275.8000 │        ascent ║
║ 1640145392 │        265.9600 │        ascent ║
║ 1640145440 │        255.7200 │        ascent ║
║ 1640145484 │        245.9600 │        ascent ║
║ 1640145529 │        235.8000 │        ascent ║
║ 1640145571 │        225.8800 │        ascent ║
║ 1640145613 │        215.9200 │        ascent ║
║ 1640145658 │        205.6000 │        ascent ║
║ 1640145700 │        195.6400 │        ascent ║
║ 1640145743 │        185.6800 │        ascent ║
║ 1640145785 │        175.6400 │        ascent ║
║ 1640145828 │        165.9200 │        ascent ║
║ 1640145872 │        155.9200 │        ascent ║
║ 1640145916 │        145.9600 │        ascent ║
║ 1640145960 │        135.9600 │        ascent ║
║ 1640146006 │        125.7200 │        ascent ║
║ 1640146052 │        115.7600 │        ascent ║
║ 1640146096 │        105.9200 │        ascent ║
║ 1640146140 │         96.0000 │        ascent ║
║ 1640146185 │         85.9200 │        ascent ║
║ 1640146229 │         75.8000 │        ascent ║
║ 1640146271 │         66.0000 │        ascent ║
║ 1640146316 │         55.8800 │        ascent ║
║ 1640146360 │         45.6400 │        ascent ║
║ 1640146402 │         35.9600 │        ascent ║
║ 1640146448 │         25.6400 │        ascent ║
║ 1640146492 │         15.7600 │        ascent ║
║ 1640146537 │          5.9200 │        ascent ║
║ 1640146556 │          1.4800 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
║        445.4000 │             2.7230 │        34.2190 │           1200 ║
║        445.6000 │             2.7220 │        34.2190 │           3000 ║
║        445.8400 │             2.7200 │        34.2180 │           4800 ║
║        446.0800 │             2.7180 │        34.2170 │           6600 ║
║        446.2800 │             2.7200 │        34.2150 │           8400 ║
║        446.5200 │             2.7210 │        34.2160 │          10200 ║
║        446.7200 │             2.7160 │        34.2180 │          12000 ║
║        446.8800 │             2.7190 │        34.2150 │          13800 ║
║        446.9600 │             2.7180 │        34.2150 │          15600 ║
║        447.0000 │             2.7190 │        34.2150 │          17400 ║
║        447.0000 │             2.7200 │        34.2160 │          19200 ║
║        446.9200 │             2.7200 │        34.2160 │          21000 ║
║        446.8000 │             2.7200 │        34.2140 │          22800 ║
║        446.6800 │             2.7190 │        34.2150 │          24600 ║
║        446.5600 │             2.7200 │        34.2170 │          26400 ║
║        446.3600 │             2.7200 │        34.2130 │          28200 ║
║        446.2000 │             2.7200 │        34.2160 │          30000 ║
║        446.0400 │             2.7210 │        34.2140 │          31800 ║
║        445.8800 │             2.7200 │        34.2170 │          33600 ║
║        445.7600 │             2.7190 │        34.2140 │          35400 ║
║        445.6400 │             2.7210 │        34.2140 │          37200 ║
