Curvilinear Box Method
Year,Month,Day,Serial Date,Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m),Box Width (m),Box Area (m^2)
1990,3,2,7.2689e+05,45177,-17388,NaN,NaN,6838.3,8730.1,301.04,2000,9.0355e+07
1991,3,7,7.2726e+05,44510,-18055,-667.51,-658.49,7063.9,9479.8,338.56,2000,8.902e+07
1992,3,9,7.2763e+05,44683,-17882,172.72,171.31,6956.4,9393,268.37,2000,8.9365e+07
1993,3,3,7.2799e+05,44386,-18179,-296.74,-301.7,7258.5,9239.2,318.59,2000,8.8772e+07
1994,5,16,7.2843e+05,44117,-18448,-269.36,-223.95,6637.3,8498.5,212.46,2000,8.8233e+07
1995,4,1,7.2875e+05,42374,-20191,-1742.3,-1987.3,6922.1,9106.2,233.49,2000,8.4748e+07
1995,9,10,7.2891e+05,45895,-16670,3520.4,7931.8,7341.3,10947,223.4,2000,9.1789e+07
1997,4,6,7.2949e+05,42441,-20124,-3453.5,-2196.1,6508.3,10718,289.67,2000,8.4882e+07
1998,4,11,7.2986e+05,43136,-19429,695.05,685.65,7086.3,12365,353.29,2000,8.6272e+07
1998,10,11,7.3004e+05,48211,-14354,5074.5,10121,7319.2,11620,341.78,2000,9.6421e+07
2000,3,21,7.3057e+05,48170,-14395,-40.836,-28.283,7210.4,12668,408.63,2000,9.634e+07
2000,10,12,7.3077e+05,49381,-13184,1210.9,2156,7402.6,12211,348.9,2000,9.8761e+07
2001,11,3,7.3116e+05,47897,-14668,-1484,-1399.7,7144.9,11460,272.86,2000,9.5793e+07
2003,3,23,7.3166e+05,51750,-10815,3853.2,2785,7863.8,13380,226.78,2000,1.035e+08
2004,3,9,7.3202e+05,53304,-9261.1,1553.9,1611.3,8043.3,18118,262.58,2000,1.0661e+08
2004,10,3,7.3222e+05,58996,-3569,5692.1,9988.5,8510.8,16836,306.1,2000,1.1799e+08
2006,1,21,7.327e+05,55563,-7002.3,-3433.3,-2638.2,8700.4,17265,338.53,2000,1.1113e+08
2007,1,16,7.3306e+05,56025,-6540.3,462.04,468.46,8547.5,16617,325.83,2000,1.1205e+08
2008,2,28,7.3347e+05,55304,-7260.5,-720.21,-644.31,8700.2,22445,935.19,2000,1.1061e+08
2009,1,29,7.338e+05,55689,-6876.2,384.33,417.5,7834.7,21983,549.58,2000,1.1138e+08
2010,4,2,7.3423e+05,62302,-263.31,6612.9,5639.5,9580.9,16438,238.23,2000,1.246e+08
2010,10,4,7.3442e+05,62054,-511.12,-247.82,-488.94,10131,18304,212.84,2000,1.2411e+08
2012,4,25,7.3498e+05,62719,153.62,664.74,426.42,10208,19791,204.03,2000,1.2544e+08
2013,2,25,7.3529e+05,62432,-132.48,-286.1,-341.26,6685,22567,644.77,2000,1.2486e+08
2014,2,9,7.3564e+05,63576,1011.3,1143.7,1196.2,10384,25634,203.44,2000,1.2715e+08
2015,1,3,7.3597e+05,63145,579.95,-431.3,-479.95,12146,37622,616.76,2000,1.2629e+08
2015,1,15,7.3598e+05,62812,246.73,-333.22,-10136,11859,35621,583.95,2000,1.2562e+08
2015,1,27,7.3599e+05,62883,317.64,70.912,2156.9,11570,30969,325.99,2000,1.2577e+08
2015,2,8,7.36e+05,62652,86.68,-230.96,-7025,12657,33189,454.65,2000,1.253e+08
2015,2,8,7.36e+05,62652,86.68,0,NaN,12657,33189,454.65,2000,1.253e+08
2015,2,20,7.3602e+05,63551,985.59,898.91,27342,11831,28946,298.42,2000,1.271e+08
