Curvilinear Box Method
Year,Month,Day,Serial Date,Terminus Position on flowline,Terminus position relative to most recent observation (m),Terminus change (m),Rate of Terminus Change (m/yr),Terminus Width (m),Terminus path length (m),Mean distance between nodes (m),Box Width (m),Box Area (m^2)
2018,1,5,7.3707e+05,61505,-1050.8,NaN,NaN,9910.5,18594,213.72,3000,1.8451e+08
2018,1,11,7.3707e+05,61460,-1096,-45.192,-2749.2,9987.3,18908,201.15,3000,1.8438e+08
2018,1,17,7.3708e+05,61336,-1220,-123.98,-7541.9,9868,18605,180.63,3000,1.8401e+08
2018,1,23,7.3708e+05,61082,-1473.8,-253.84,-15442,9827.6,19684,194.89,3000,1.8325e+08
2018,1,29,7.3709e+05,60960,-1595.8,-121.93,-7417.3,9570.2,22464,258.21,3000,1.8288e+08
2018,2,4,7.371e+05,60902,-1654,-58.278,-3545.2,9938.3,26087,378.07,3000,1.8271e+08
2018,2,10,7.371e+05,60601,-1955.3,-301.21,-18324,9472.6,20177,214.65,3000,1.818e+08
2018,2,16,7.3711e+05,60558,-1997.8,-42.573,-2589.9,9647.5,20816,231.28,3000,1.8167e+08
2018,2,22,7.3711e+05,60418,-2138.3,-140.47,-8545.2,9626.8,20519,247.21,3000,1.8125e+08
2018,2,28,7.3712e+05,60265,-2291.1,-152.85,-9298.2,9760.7,17637,183.72,3000,1.8079e+08
2018,3,6,7.3713e+05,60155,-2400.9,-109.75,-6676.3,9489.3,19417,231.15,3000,1.8046e+08
2018,3,12,7.3713e+05,59927,-2628.5,-227.58,-13844,9424.6,20727,265.73,3000,1.7978e+08
2018,3,18,7.3714e+05,59768,-2788.2,-159.75,-9718.4,9296.2,21671,292.85,3000,1.793e+08
2018,3,24,7.3714e+05,59725,-2830.7,-42.436,-2581.5,9665,17895,194.51,3000,1.7918e+08
2018,3,30,7.3715e+05,59733,-2823,7.6969,468.23,9528.3,18434,204.82,3000,1.792e+08
2018,4,5,7.3716e+05,59418,-3137.8,-314.84,-19153,9618.6,19151,227.99,3000,1.7825e+08
2018,4,11,7.3716e+05,59277,-3279,-141.15,-8586.9,9836.4,18515,208.04,3000,1.7783e+08
2018,4,17,7.3717e+05,59092,-3464.3,-185.34,-11275,9700.3,18212,204.63,3000,1.7727e+08
2018,4,23,7.3717e+05,59057,-3498.5,-34.253,-2083.7,9535.3,18021,187.72,3000,1.7717e+08
2018,4,29,7.3718e+05,59101,-3454.4,44.122,2684.1,9528.8,19301,201.06,3000,1.773e+08
2018,5,5,7.3719e+05,59662,-2893.9,560.56,34101,9453.5,18507,181.44,3000,1.7899e+08
2018,5,11,7.3719e+05,59856,-2700,193.84,11792,9284.1,22036,268.73,3000,1.7957e+08
2018,5,17,7.372e+05,59681,-2874.3,-174.3,-10603,10231,19165,206.07,3000,1.7904e+08
2018,5,23,7.372e+05,60445,-2110.9,763.38,46439,10434,17800,214.46,3000,1.8133e+08
2018,5,29,7.3721e+05,60415,-2140.6,-29.692,-1806.3,10465,16513,185.54,3000,1.8125e+08
2018,6,4,7.3722e+05,60236,-2320.2,-179.53,-10922,10382,17547,208.89,3000,1.8071e+08
2018,6,10,7.3722e+05,60834,-1722.1,598.07,36383,10559,16818,186.87,3000,1.825e+08
2018,6,16,7.3723e+05,60802,-1753.4,-31.336,-1906.2,10600,17728,203.77,3000,1.8241e+08
2018,6,22,7.3723e+05,60734,-1821.9,-68.418,-4162.1,10637,17663,191.99,3000,1.822e+08
2018,6,28,7.3724e+05,61099,-1457.1,364.79,22192,10624,17650,189.78,3000,1.833e+08
2018,7,4,7.3725e+05,61349,-1207.2,249.9,15202,10706,21061,263.26,3000,1.8405e+08
2018,7,10,7.3725e+05,61144,-1411.9,-204.74,-12455,10734,18911,199.06,3000,1.8343e+08
2018,7,16,7.3726e+05,61019,-1536.6,-124.66,-7583.7,10760,18341,173.03,3000,1.8306e+08
